track,chain_idx,step,token_count,correct,tags
implicit,72,1,616,1,removed_rules;added_rules
implicit,72,2,940,0,removed_rules;added_rules
implicit,72,3,1286,1,removed_rules;added_rules
implicit,72,4,1632,1,removed_rules;added_rules
implicit,72,5,2009,1,added_rules
implicit,72,6,2364,1,added_rules;added_facts
implicit,72,7,2734,1,removed_facts;removed_rules;added_rules
implicit,52,1,443,1,removed_facts;added_rules
implicit,52,2,670,1,added_rules;added_facts
implicit,52,3,923,1,added_rules;added_facts
implicit,52,4,1211,1,removed_facts;removed_rules;added_rules
implicit,52,5,1545,1,added_rules
implicit,52,6,1932,1,removed_rules;added_rules
implicit,52,7,2275,1,added_rules
implicit,73,1,635,1,removed_rules;added_rules
implicit,73,2,966,1,added_rules;added_facts
implicit,73,3,1309,1,removed_facts;removed_rules;added_rules
implicit,73,4,1710,1,added_rules
implicit,73,5,2163,1,added_rules
implicit,73,6,2698,1,added_rules
implicit,73,7,3214,1,no_change
implicit,30,1,456,1,removed_rules;added_rules
implicit,30,2,705,1,removed_rules;added_rules
implicit,30,3,927,1,removed_rules;added_rules
implicit,30,4,1156,1,added_rules;added_facts
implicit,30,5,1446,1,no_change
implicit,30,6,1733,1,added_rules;added_facts
implicit,30,7,2105,1,added_facts
implicit,92,1,456,1,removed_facts;added_rules;added_facts
implicit,92,2,689,1,added_facts
implicit,92,3,927,1,removed_rules;added_rules;added_facts
implicit,92,4,1222,1,removed_facts;removed_rules;added_rules
implicit,92,5,1522,1,added_rules
implicit,92,6,1839,1,removed_rules;added_rules
implicit,92,7,2108,1,removed_facts;removed_rules;added_rules
implicit,199,1,617,1,removed_facts;added_rules
implicit,199,2,926,1,added_rules
implicit,199,3,1227,1,added_rules
implicit,199,4,1570,1,removed_facts;added_rules
implicit,199,5,1940,1,added_rules;added_facts
implicit,199,6,2323,1,added_rules;added_facts
implicit,199,7,2737,1,removed_facts;removed_rules;added_rules
implicit,78,1,494,1,added_rules;added_facts
implicit,78,2,773,1,removed_rules;added_rules
implicit,78,3,1031,1,removed_rules;added_rules
implicit,78,4,1306,1,added_rules
implicit,78,5,1596,1,removed_rules;added_rules
