example_id,original_answer,num_context_statements,num_reasoning_steps,conclusion,num_unique_predicates,edit_id,edit_number,modification_type,edit_answer,removed_facts,removed_rules,added_facts,added_rules,qwen3-235b-a22b-2507_verified,gemini-2.5-flash_verified,gpt-5-mini_verified
0,True,12,7,Rebecca is a theoretician.,13,0,1,FLIP,False,1,1,1,1,False,True,True
0,True,12,7,Rebecca is a theoretician.,13,1,2,INVARIANT,False,0,0,1,0,True,True,True
0,True,12,7,Rebecca is a theoretician.,13,2,3,FLIP,True,1,0,1,0,True,True,True
0,True,12,7,Rebecca is a theoretician.,13,3,4,INVARIANT,True,0,1,3,2,True,True,True
0,True,12,7,Rebecca is a theoretician.,13,4,5,INVARIANT,True,0,0,1,3,True,True,True
0,True,12,7,Rebecca is a theoretician.,13,5,6,INVARIANT,True,0,1,1,2,True,True,True
0,True,12,7,Rebecca is a theoretician.,13,6,7,FLIP,False,0,1,2,0,True,True,True
1,True,13,7,Oakley challenges tradition.,13,0,1,FLIP,False,1,0,1,1,True,True,True
1,True,13,7,Oakley challenges tradition.,13,1,2,FLIP,True,0,1,0,1,True,True,True
1,True,13,7,Oakley challenges tradition.,13,2,3,INVARIANT,True,0,0,0,3,True,True,True
1,True,13,7,Oakley challenges tradition.,13,3,4,INVARIANT,True,0,0,1,2,True,True,True
1,True,13,7,Oakley challenges tradition.,13,4,5,INVARIANT,True,0,0,1,0,True,True,True
1,True,13,7,Oakley challenges tradition.,13,5,6,INVARIANT,True,0,0,0,1,False,True,True
1,True,13,7,Oakley challenges tradition.,13,6,7,INVARIANT,True,0,0,1,2,True,True,True
2,True,11,6,Elise does not remain young.,11,0,1,INVARIANT,True,0,1,1,2,True,False,True
2,True,11,6,Elise does not remain young.,11,1,2,FLIP,False,0,1,0,1,True,True,True
2,True,11,6,Elise does not remain young.,11,2,3,FLIP,True,0,1,1,1,True,True,True
2,True,11,6,Elise does not remain young.,11,3,4,INVARIANT,True,0,1,3,2,True,True,True
2,True,11,6,Elise does not remain young.,11,4,5,FLIP,False,2,0,1,0,True,True,True
2,True,11,6,Elise does not remain young.,11,5,6,FLIP,True,1,0,1,0,True,True,True
2,True,11,6,Elise does not remain young.,11,6,7,INVARIANT,True,0,1,1,2,True,True,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,0,1,FLIP,True,0,1,0,1,True,True,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,1,2,INVARIANT,True,0,0,3,1,True,True,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,2,3,FLIP,False,1,2,1,2,True,False,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,3,4,FLIP,True,1,0,1,0,True,True,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,4,5,FLIP,False,0,1,1,0,True,True,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,5,6,FLIP,True,0,1,0,1,True,True,True
3,False,15,8,Jadiel has a dream and either works hard or achieves success (or both).,15,6,7,FLIP,False,0,1,0,1,True,True,True
4,True,10,7,Luz is driven by fame.,10,0,1,INVARIANT,True,0,0,6,0,True,True,True
4,True,10,7,Luz is driven by fame.,10,1,2,FLIP,False,0,1,0,1,True,True,True
4,True,10,7,Luz is driven by fame.,10,2,3,FLIP,True,0,1,0,1,True,True,True
4,True,10,7,Luz is driven by fame.,10,3,4,FLIP,False,3,1,2,0,True,True,True
4,True,10,7,Luz is driven by fame.,10,4,5,INVARIANT,False,0,0,2,1,False,True,True
4,True,10,7,Luz is driven by fame.,10,5,6,FLIP,True,1,0,1,0,True,True,True
4,True,10,7,Luz is driven by fame.,10,6,7,FLIP,False,1,0,0,1,True,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,0,1,INVARIANT,False,0,0,5,0,True,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,1,2,FLIP,True,1,0,1,1,True,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,2,3,INVARIANT,True,0,1,1,2,False,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,3,4,FLIP,False,1,1,1,0,True,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,4,5,INVARIANT,False,0,1,2,1,True,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,5,6,FLIP,True,1,0,0,1,False,True,True
5,False,14,7,Amaia celebrates Kwanzaa.,14,6,7,INVARIANT,True,0,1,1,1,False,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,0,1,INVARIANT,True,0,0,0,3,True,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,1,2,INVARIANT,True,0,3,1,3,True,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,2,3,INVARIANT,True,0,3,2,3,True,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,3,4,FLIP,False,1,1,0,2,True,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,4,5,INVARIANT,False,0,0,0,2,True,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,5,6,INVARIANT,False,0,0,1,0,True,True,True
6,True,13,7,Nori is reverent and either studies sacred texts or appreciates nature (or both).,13,6,7,FLIP,True,0,2,1,0,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,0,1,INVARIANT,True,0,0,3,1,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,1,2,FLIP,False,1,0,1,0,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,2,3,INVARIANT,False,1,1,1,1,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,3,4,INVARIANT,False,0,1,0,3,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,4,5,INVARIANT,False,0,0,3,0,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,5,6,INVARIANT,False,0,0,1,1,True,True,True
7,True,11,8,Riley makes breakthroughs.,11,6,7,FLIP,True,3,0,1,0,True,True,True
8,True,14,9,Zen disperses its genetic material.,16,0,1,INVARIANT,True,0,0,3,1,False,True,True
8,True,14,9,Zen disperses its genetic material.,16,1,2,INVARIANT,True,0,1,2,0,False,True,True
8,True,14,9,Zen disperses its genetic material.,16,2,3,FLIP,False,0,0,0,1,False,True,True
8,True,14,9,Zen disperses its genetic material.,16,3,4,INVARIANT,False,0,2,0,1,False,True,True
8,True,14,9,Zen disperses its genetic material.,16,4,5,INVARIANT,False,0,1,2,1,True,True,True
8,True,14,9,Zen disperses its genetic material.,16,5,6,INVARIANT,False,0,1,2,0,True,True,True
8,True,14,9,Zen disperses its genetic material.,16,6,7,INVARIANT,False,0,1,1,2,True,True,True
9,False,15,8,Amara has urethritis.,16,0,1,FLIP,True,1,0,0,2,True,True,True
9,False,15,8,Amara has urethritis.,16,1,2,FLIP,False,0,1,0,1,True,True,True
9,False,15,8,Amara has urethritis.,16,2,3,FLIP,True,0,1,0,2,True,True,True
9,False,15,8,Amara has urethritis.,16,3,4,FLIP,False,0,1,0,1,True,True,True
9,False,15,8,Amara has urethritis.,16,4,5,FLIP,True,0,2,0,2,False,True,True
9,False,15,8,Amara has urethritis.,16,5,6,INVARIANT,True,0,0,1,2,True,True,True
9,False,15,8,Amara has urethritis.,16,6,7,FLIP,False,1,0,0,1,True,True,True
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,0,1,INVARIANT,False,0,1,8,1,True,True,True
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,1,2,FLIP,True,1,0,1,0,True,True,True
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,2,3,FLIP,False,1,0,0,1,True,True,True
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,3,4,FLIP,True,0,1,0,0,True,True,False
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,4,5,INVARIANT,True,0,1,1,0,True,True,True
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,5,6,FLIP,False,1,0,0,0,True,True,True
10,False,15,10,"If Loyal has a strong bond with her rider or is exposed to varied terrain, then she inspires creativity.",15,6,7,FLIP,True,1,0,1,0,True,True,True
11,True,17,9,"Jocelyn is meticulous, thinks critically and can manage stress.",18,0,1,FLIP,False,1,0,0,1,True,True,True
11,True,17,9,"Jocelyn is meticulous, thinks critically and can manage stress.",18,1,2,INVARIANT,False,0,0,1,0,False,True,True
11,True,17,9,"Jocelyn is meticulous, thinks critically and can manage stress.",18,2,3,INVARIANT,False,0,1,6,1,True,True,True
11,True,17,9,"Jocelyn is meticulous, thinks critically and can manage stress.",18,3,4,FLIP,True,2,1,1,0,True,True,True
