model_name,model_short,task_type,operation_type,accuracy,total_count,correct_count
anthropic/claude-sonnet-4,claude-sonnet-4,explicit,Adding,0.9233409610983981,874,807
anthropic/claude-sonnet-4,claude-sonnet-4,explicit,Mixed,0.8987138263665595,1866,1677
anthropic/claude-sonnet-4,claude-sonnet-4,explicit,Other,0.25,12,3
anthropic/claude-sonnet-4,claude-sonnet-4,explicit,Removing,0.375,48,18
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_correction,Adding,0.9004576659038902,874,787
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_correction,Mixed,0.8971061093247589,1866,1674
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_correction,Other,0.25,12,3
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_correction,Removing,0.4375,48,21
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning,Adding,0.8958810068649885,874,783
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning,Mixed,0.8660235798499464,1866,1616
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning,Other,0.25,12,3
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning,Removing,0.4166666666666667,48,20
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning_no_correction,Adding,0.8707093821510298,874,761
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning_no_correction,Mixed,0.8595927116827439,1866,1604
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning_no_correction,Other,0.08333333333333333,12,1
anthropic/claude-sonnet-4,claude-sonnet-4,explicit_no_reasoning_no_correction,Removing,0.3541666666666667,48,17
anthropic/claude-sonnet-4,claude-sonnet-4,implicit,Adding,0.9553775743707094,874,835
anthropic/claude-sonnet-4,claude-sonnet-4,implicit,Mixed,0.9453376205787781,1866,1764
anthropic/claude-sonnet-4,claude-sonnet-4,implicit,Other,0.75,12,9
anthropic/claude-sonnet-4,claude-sonnet-4,implicit,Removing,0.875,48,42
