track,chain_idx,step,token_count,correct,tags
implicit,145,1,590,1,removed_rules;added_rules;added_facts
implicit,145,2,868,1,removed_rules;added_rules;added_facts
implicit,145,3,1173,1,removed_rules;added_rules;added_facts
implicit,145,4,1464,1,removed_facts;removed_rules;added_rules;added_facts
implicit,145,5,1567,1,added_rules
implicit,145,6,1703,1,removed_facts;added_facts
implicit,145,7,1860,1,removed_facts;added_facts
implicit,206,1,456,1,added_facts
implicit,206,2,719,1,added_rules
implicit,206,3,995,1,removed_rules;added_rules
implicit,206,4,1268,1,added_rules;added_facts
implicit,206,5,1538,1,added_rules;added_facts
implicit,206,6,1843,1,added_rules;added_facts
implicit,206,7,2206,1,removed_facts;removed_rules;added_rules
implicit,185,1,388,1,removed_rules;added_rules
implicit,185,2,559,1,removed_facts;added_rules
implicit,185,3,739,1,removed_rules;added_rules
implicit,185,4,918,1,added_rules;added_facts
implicit,185,5,1144,1,removed_rules;added_rules
implicit,185,6,1354,1,removed_facts;added_rules;added_facts
implicit,185,7,1580,1,removed_facts;added_rules
implicit,103,1,480,1,removed_rules;added_facts
implicit,103,2,699,1,removed_facts;removed_rules;added_rules;added_facts
implicit,103,3,902,1,removed_rules;added_rules
implicit,103,4,1119,1,added_rules;added_facts
implicit,103,5,1330,1,removed_facts;removed_rules;added_rules
implicit,103,6,1551,1,removed_rules;added_rules
implicit,103,7,1783,1,removed_rules;added_rules
implicit,3,1,428,1,added_facts
implicit,3,2,676,1,removed_rules;added_rules;added_facts
implicit,3,3,932,1,added_rules;added_facts
implicit,3,4,1241,1,added_rules;added_facts
implicit,3,5,1568,1,added_rules;added_facts
implicit,3,6,1963,1,added_rules
implicit,3,7,2401,1,removed_facts;removed_rules;added_rules
implicit,11,1,414,1,removed_rules;added_rules
implicit,11,2,765,1,removed_rules;added_rules
implicit,11,3,996,1,added_facts
implicit,11,4,1242,1,removed_facts;removed_rules;added_rules
implicit,11,5,1491,1,removed_rules;added_rules
implicit,11,6,1706,1,removed_rules;added_facts
implicit,11,7,1946,1,added_facts
implicit,102,1,580,1,added_rules;added_facts
implicit,102,2,919,1,added_rules
implicit,102,3,1271,1,removed_rules;added_rules
implicit,102,4,1589,1,removed_rules;added_rules
implicit,102,5,1914,1,added_facts
implicit,102,6,2328,1,added_facts
implicit,102,7,2732,1,removed_facts;removed_rules;added_rules
implicit,22,1,604,1,added_rules;added_facts
implicit,22,2,1007,1,removed_facts;added_facts
implicit,22,3,1317,1,removed_rules;added_rules
implicit,22,4,1638,1,added_rules;added_facts
implicit,22,5,2016,1,removed_facts;removed_rules;added_facts
implicit,22,6,2368,1,added_facts
implicit,22,7,2758,1,added_rules;added_facts
implicit,67,1,402,1,removed_rules;added_facts
implicit,67,2,582,1,added_facts
implicit,67,3,797,1,removed_facts;added_facts
implicit,67,4,1004,1,added_facts
implicit,67,5,1238,1,removed_rules;added_rules
implicit,67,6,1533,1,removed_facts;removed_rules;added_rules
implicit,67,7,1799,1,added_rules;added_facts
implicit,78,1,494,1,added_rules;added_facts
implicit,78,2,819,1,removed_rules;added_rules
implicit,78,3,1065,1,removed_rules;added_rules
implicit,78,4,1320,1,added_rules
implicit,78,5,1584,1,removed_rules;added_rules
implicit,78,6,1830,1,added_rules;added_facts
implicit,78,7,2107,1,removed_facts;added_rules
implicit,196,1,506,1,removed_rules;added_rules;added_facts
implicit,196,2,957,1,added_rules;added_facts
implicit,196,3,1506,1,removed_facts;removed_rules;added_rules
implicit,196,4,1638,1,removed_rules;added_facts
implicit,196,5,1761,1,removed_facts;added_facts
implicit,196,6,1858,1,removed_rules;added_rules;added_facts
implicit,196,7,1971,1,removed_facts;added_rules
implicit,172,1,450,1,removed_rules;added_rules
implicit,172,2,761,1,added_facts
implicit,172,3,997,1,removed_rules;added_rules
implicit,172,4,1215,1,added_rules
implicit,172,5,1449,1,removed_rules;added_rules;added_facts
implicit,172,6,1707,1,removed_rules;added_rules
implicit,172,7,1962,1,added_rules
implicit,113,1,402,1,removed_facts;removed_rules;added_rules;added_facts
implicit,113,2,682,1,removed_rules;added_rules
implicit,113,3,890,1,removed_rules;added_rules
implicit,113,4,1106,1,added_rules
implicit,113,5,1339,1,removed_rules;added_rules
implicit,113,6,1570,1,removed_rules;added_rules
implicit,113,7,1811,1,added_rules
implicit,194,1,510,1,removed_rules;added_facts
implicit,194,2,730,1,removed_facts;added_rules
implicit,194,3,983,1,removed_rules;added_rules
implicit,194,4,1218,1,removed_rules;added_rules
implicit,194,5,1469,1,removed_facts;added_rules
implicit,194,6,1710,1,removed_rules;added_rules
implicit,194,7,1930,1,removed_rules;added_rules
implicit,7,1,509,1,added_facts
implicit,7,2,830,1,added_rules
implicit,7,3,1291,1,added_rules
implicit,7,4,1769,1,removed_rules;added_rules
implicit,7,5,2223,1,removed_rules;added_rules
implicit,7,6,2693,1,added_rules
implicit,7,7,3228,1,added_rules
implicit,5,1,631,1,removed_facts;added_facts
implicit,5,2,907,1,added_facts
implicit,5,3,1199,1,removed_facts;added_facts
implicit,5,4,1481,1,removed_facts;added_facts
implicit,5,5,1766,1,removed_facts;removed_rules;added_rules
implicit,5,6,2087,1,added_facts
implicit,5,7,2206,1,removed_facts;added_rules;added_facts
implicit,30,1,456,1,removed_rules;added_rules
implicit,30,2,675,1,removed_rules;added_rules
implicit,30,3,877,1,removed_rules;added_rules
implicit,30,4,1088,1,added_rules;added_facts
implicit,30,5,1348,1,no_change
implicit,30,6,1599,1,added_rules;added_facts
implicit,30,7,1956,1,added_facts
implicit,112,1,570,1,added_rules;added_facts
implicit,112,2,935,1,removed_rules;added_rules
implicit,112,3,1291,1,removed_rules;added_rules;added_facts
implicit,112,4,1611,1,added_rules
implicit,112,5,1959,1,removed_rules;added_rules;added_facts
implicit,112,6,2336,1,removed_facts;removed_rules;added_rules
implicit,112,7,2780,1,removed_rules;added_rules
implicit,161,1,698,1,removed_facts;added_rules;added_facts
implicit,161,2,1072,1,removed_facts;added_rules;added_facts
implicit,161,3,1490,1,added_facts
implicit,161,4,1951,1,removed_facts;added_facts
implicit,161,5,2413,1,removed_rules;added_rules;added_facts
implicit,161,6,2892,1,removed_rules;added_rules;added_facts
implicit,161,7,3388,1,added_rules
implicit,41,1,452,1,added_facts
implicit,41,2,727,1,added_facts
implicit,41,3,964,1,removed_facts;removed_rules;added_rules
implicit,41,4,1203,1,added_rules;added_facts
implicit,41,5,1485,1,added_rules;added_facts
implicit,41,6,1807,1,removed_rules;added_rules;added_facts
implicit,41,7,2133,1,added_rules
implicit,205,1,573,1,removed_rules;added_rules
implicit,205,2,807,1,removed_rules;added_rules
implicit,205,3,1058,1,removed_facts;added_facts
implicit,205,4,1278,1,removed_facts;added_rules
implicit,205,5,1528,1,removed_rules;added_rules
implicit,205,6,1790,1,removed_rules;added_rules
implicit,205,7,2044,1,removed_rules;added_rules
implicit,37,1,596,1,removed_facts;added_rules
implicit,37,2,997,1,added_facts
implicit,37,3,1320,1,removed_facts;added_facts
implicit,37,4,1423,1,removed_facts;added_facts
implicit,37,5,1533,1,removed_rules;added_rules
implicit,37,6,1633,1,removed_rules;added_rules
implicit,37,7,1724,1,removed_rules;added_rules
implicit,198,1,600,1,added_rules
implicit,198,2,898,1,removed_facts;added_facts
implicit,198,3,1162,1,added_facts
implicit,198,4,1491,1,added_rules;added_facts
implicit,198,5,1849,1,added_facts
implicit,198,6,2209,1,added_facts
implicit,198,7,2624,1,removed_rules;added_rules;added_facts
implicit,109,1,433,1,added_facts
implicit,109,2,669,1,added_facts
implicit,109,3,939,1,removed_rules;added_rules;added_facts
implicit,109,4,1232,1,removed_facts;removed_rules;added_rules
implicit,109,5,1572,1,removed_rules;added_rules
implicit,109,6,1860,1,removed_rules;added_rules
implicit,109,7,2157,1,removed_rules;added_rules
implicit,86,1,526,1,added_facts
implicit,86,2,870,1,added_rules;added_facts
implicit,86,3,1196,1,no_change
implicit,86,4,1452,1,removed_rules;added_rules
implicit,86,5,1720,1,removed_rules;added_rules
implicit,86,6,1979,1,added_facts
implicit,86,7,2271,1,added_rules;added_facts
implicit,123,1,518,1,removed_facts;added_rules
implicit,123,2,773,1,added_rules;added_facts
implicit,123,3,1077,1,added_rules
implicit,123,4,1442,1,added_rules
implicit,123,5,1846,1,added_rules;added_facts
implicit,123,6,2322,1,removed_facts;removed_rules;added_rules
implicit,123,7,2843,1,removed_rules;added_rules
implicit,76,1,495,1,added_facts
implicit,76,2,730,1,removed_facts;added_facts
implicit,76,3,985,1,removed_facts;added_rules
implicit,76,4,1232,1,removed_rules;added_facts
implicit,76,5,1478,1,added_rules;added_facts
implicit,76,6,1771,1,removed_facts;removed_rules;added_rules
implicit,76,7,2004,1,removed_rules;added_rules
implicit,178,1,513,1,removed_rules;added_rules;added_facts
implicit,178,2,832,1,added_rules
implicit,178,3,1136,1,removed_rules;added_rules
implicit,178,4,1410,1,added_rules;added_facts
implicit,178,5,1693,1,removed_facts;removed_rules;added_rules
implicit,178,6,1983,1,removed_rules;added_rules
implicit,178,7,2252,1,removed_rules;added_rules
implicit,142,1,564,1,added_rules;added_facts
implicit,142,2,867,1,removed_rules;added_rules;added_facts
implicit,142,3,1188,1,added_rules;added_facts
implicit,142,4,1496,1,added_rules;added_facts
implicit,142,5,1859,1,added_facts
implicit,142,6,2234,1,removed_rules;added_rules
implicit,142,7,2638,1,added_facts
implicit,17,1,559,1,removed_rules;added_rules
implicit,17,2,958,1,removed_rules;added_rules;added_facts
implicit,17,3,1265,1,removed_facts;removed_rules;added_rules
implicit,17,4,1569,1,removed_rules;added_rules;added_facts
implicit,17,5,1903,1,added_rules;added_facts
implicit,17,6,2243,1,added_rules;added_facts
implicit,17,7,2628,1,removed_facts;removed_rules;added_rules
