model,size_billions,architecture,notes
claude-sonnet-4,~175,Standard,"Anthropic Claude Sonnet 4 (estimated ~175B, unofficial)"
gemini-2-5-flash,~5,Standard,"Google Gemini 2.5 Flash (estimated ~5B, unofficial)"
gemini-2.5-pro,~200,Standard,"Google Gemini 2.5 Pro (estimated >200B, unofficial)"
gemma-3-12b-it,12,Standard,Google Gemma 3 12B Instruct
gemma-3-27b-it,27,Standard,Google Gemma 3 27B Instruct
gemma-3-4b-it,4,Standard,Google Gemma 3 4B Instruct
gpt-4.1-mini,~8,MoE,"OpenAI GPT-4.1 Mini (estimated ~8B active, possibly ~40B total MoE)"
gpt-5-nano,~8,Standard,"OpenAI GPT-5 Nano (estimated ~8B, unofficial)"
gpt-oss-120b,120,Standard,Open-source GPT 120B
gpt-oss-20b,20,Standard,Open-source GPT 20B
grok-code-fast-1,314,MoE,xAI Grok Code Fast (314B total MoE)
kimi-k2-0905,1000,MoE,"Moonshot AI Kimi K2 (1 trillion total, 32B active parameters, 384 experts)"
qwen-2.5-coder-32b-instruct,32,Standard,Alibaba Qwen 2.5 Coder 32B Instruct
qwen3-235b-a22b-2507,235,Standard,Alibaba Qwen3 235B
qwen3-235b-a22b-thinking-2507,235,Standard,Alibaba Qwen3 235B Thinking
qwen3-30b-a3b,30,Standard,Alibaba Qwen3 30B
qwen3-30b-a3b-thinking-2507,30,Standard,Alibaba Qwen3 30B Thinking
qwen3-coder,480,MoE,"Alibaba Qwen3 Coder (480B total, 35B active, MoE architecture)"
qwen3-coder-30b-a3b-instruct,30,Standard,Alibaba Qwen3 Coder 30B Instruct
