model,setting,autopsy,n,share
anthropic/claude-sonnet-4,explicit,stale,14,15.73
anthropic/claude-sonnet-4,explicit,uncertain_retreat,75,84.27
anthropic/claude-sonnet-4,implicit,stale,14,31.11
anthropic/claude-sonnet-4,implicit,uncertain_retreat,31,68.89
google/gemini-2-5-flash,explicit,other_changed,6,3.39
google/gemini-2-5-flash,explicit,stale,33,18.64
google/gemini-2-5-flash,explicit,uncertain_retreat,138,77.97
google/gemini-2-5-flash,implicit,other_changed,4,10.0
google/gemini-2-5-flash,implicit,stale,21,52.5
google/gemini-2-5-flash,implicit,uncertain_retreat,15,37.5
google/gemini-2.5-pro,explicit,stale,10,13.89
google/gemini-2.5-pro,explicit,uncertain_retreat,62,86.11
google/gemini-2.5-pro,implicit,stale,9,69.23
google/gemini-2.5-pro,implicit,uncertain_retreat,4,30.77
google/gemma-3-12b-it,explicit,other_changed,1,0.24
google/gemma-3-12b-it,explicit,stale,32,7.55
google/gemma-3-12b-it,explicit,uncertain_retreat,391,92.22
google/gemma-3-12b-it,implicit,other_changed,4,2.2
google/gemma-3-12b-it,implicit,stale,122,67.03
google/gemma-3-12b-it,implicit,uncertain_retreat,56,30.77
google/gemma-3-27b-it,explicit,stale,36,13.85
google/gemma-3-27b-it,explicit,uncertain_retreat,224,86.15
google/gemma-3-27b-it,implicit,stale,66,41.51
google/gemma-3-27b-it,implicit,uncertain_retreat,93,58.49
google/gemma-3-4b-it,explicit,stale,136,29.82
google/gemma-3-4b-it,explicit,uncertain_retreat,320,70.18
google/gemma-3-4b-it,implicit,stale,273,89.51
google/gemma-3-4b-it,implicit,uncertain_retreat,32,10.49
moonshotai/kimi-k2-0905,explicit,other_changed,2,0.47
moonshotai/kimi-k2-0905,explicit,stale,28,6.51
moonshotai/kimi-k2-0905,explicit,uncertain_retreat,400,93.02
moonshotai/kimi-k2-0905,implicit,other_changed,2,1.29
moonshotai/kimi-k2-0905,implicit,stale,42,27.1
moonshotai/kimi-k2-0905,implicit,uncertain_retreat,111,71.61
openai/gpt-4.1-mini,explicit,stale,46,15.28
openai/gpt-4.1-mini,explicit,uncertain_retreat,255,84.72
openai/gpt-4.1-mini,implicit,stale,53,42.74
openai/gpt-4.1-mini,implicit,uncertain_retreat,71,57.26
openai/gpt-5-nano,explicit,stale,10,1.32
openai/gpt-5-nano,explicit,uncertain_retreat,750,98.68
openai/gpt-5-nano,implicit,stale,79,48.77
openai/gpt-5-nano,implicit,uncertain_retreat,83,51.23
openai/gpt-oss-120b,explicit,other_changed,1,0.38
openai/gpt-oss-120b,explicit,stale,33,12.69
openai/gpt-oss-120b,explicit,uncertain_retreat,226,86.92
openai/gpt-oss-120b,implicit,stale,16,18.18
openai/gpt-oss-120b,implicit,uncertain_retreat,72,81.82
openai/gpt-oss-20b,explicit,other_changed,2,0.52
openai/gpt-oss-20b,explicit,stale,52,13.51
openai/gpt-oss-20b,explicit,uncertain_retreat,331,85.97
openai/gpt-oss-20b,implicit,other_changed,4,3.33
openai/gpt-oss-20b,implicit,stale,36,30.0
openai/gpt-oss-20b,implicit,uncertain_retreat,80,66.67
qwen/qwen3-235b-a22b-2507,explicit,stale,10,4.55
qwen/qwen3-235b-a22b-2507,explicit,uncertain_retreat,210,95.45
qwen/qwen3-235b-a22b-2507,implicit,stale,18,26.87
qwen/qwen3-235b-a22b-2507,implicit,uncertain_retreat,49,73.13
qwen/qwen3-30b-a3b,explicit,other_changed,3,0.85
qwen/qwen3-30b-a3b,explicit,stale,38,10.8
qwen/qwen3-30b-a3b,explicit,uncertain_retreat,311,88.35
qwen/qwen3-30b-a3b,implicit,stale,67,41.1
qwen/qwen3-30b-a3b,implicit,uncertain_retreat,96,58.9
qwen/qwen3-30b-a3b-thinking-2507,explicit,stale,138,46.78
qwen/qwen3-30b-a3b-thinking-2507,explicit,uncertain_retreat,157,53.22
qwen/qwen3-30b-a3b-thinking-2507,implicit,stale,36,80.0
qwen/qwen3-30b-a3b-thinking-2507,implicit,uncertain_retreat,9,20.0
qwen/qwen3-coder,explicit,stale,45,22.17
qwen/qwen3-coder,explicit,uncertain_retreat,158,77.83
qwen/qwen3-coder,implicit,stale,44,47.83
qwen/qwen3-coder,implicit,uncertain_retreat,48,52.17
qwen/qwen3-coder-30b-a3b-instruct,explicit,stale,39,8.76
qwen/qwen3-coder-30b-a3b-instruct,explicit,uncertain_retreat,406,91.24
qwen/qwen3-coder-30b-a3b-instruct,implicit,stale,70,40.23
qwen/qwen3-coder-30b-a3b-instruct,implicit,uncertain_retreat,104,59.77
x-ai/grok-code-fast-1,explicit,other_changed,3,2.65
x-ai/grok-code-fast-1,explicit,stale,42,37.17
x-ai/grok-code-fast-1,explicit,uncertain_retreat,68,60.18
x-ai/grok-code-fast-1,implicit,other_changed,4,3.85
x-ai/grok-code-fast-1,implicit,stale,33,31.73
x-ai/grok-code-fast-1,implicit,uncertain_retreat,67,64.42
