track,chain_idx,step,token_count,correct,tags
implicit_no_reasoning_no_correction,151,1,323,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,151,2,626,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,3,931,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,4,1295,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,151,5,1629,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,6,1967,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,7,2361,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,92,1,245,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,92,2,469,1,added_facts
implicit_no_reasoning_no_correction,92,3,714,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,92,4,975,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,92,5,1265,1,added_rules
implicit_no_reasoning_no_correction,92,6,1562,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,92,7,1826,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,103,1,242,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,103,2,470,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,103,3,686,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,103,4,911,1,added_rules;added_facts
implicit_no_reasoning_no_correction,103,5,1159,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,103,6,1389,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,103,7,1618,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,120,1,296,1,added_facts
implicit_no_reasoning_no_correction,120,2,623,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,120,3,925,1,added_rules;added_facts
implicit_no_reasoning_no_correction,120,4,1270,1,added_facts
implicit_no_reasoning_no_correction,120,5,1667,1,added_rules
implicit_no_reasoning_no_correction,120,6,2076,1,added_rules;added_facts
implicit_no_reasoning_no_correction,120,7,2494,1,added_facts
implicit_no_reasoning_no_correction,159,1,252,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,159,2,486,1,added_facts
implicit_no_reasoning_no_correction,159,3,736,0,added_rules
implicit_no_reasoning_no_correction,159,4,1024,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,159,5,1274,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,159,6,1532,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,159,7,1819,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,187,1,291,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,187,2,582,1,added_rules;added_facts
implicit_no_reasoning_no_correction,187,3,918,1,added_rules;added_facts
implicit_no_reasoning_no_correction,187,4,1354,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,187,5,1816,1,added_rules
implicit_no_reasoning_no_correction,187,6,2336,1,added_rules
implicit_no_reasoning_no_correction,187,7,3094,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,145,1,286,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,145,2,561,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,145,3,870,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,145,4,1177,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,145,5,1301,1,added_rules
implicit_no_reasoning_no_correction,145,6,1464,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,145,7,1622,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,121,1,277,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,121,2,575,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,121,3,866,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,121,4,1155,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,121,5,1445,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,121,6,1756,1,added_rules;added_facts
implicit_no_reasoning_no_correction,121,7,2082,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,172,1,228,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,172,2,427,1,added_facts
implicit_no_reasoning_no_correction,172,3,658,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,172,4,883,1,added_rules
implicit_no_reasoning_no_correction,172,5,1123,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,172,6,1395,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,172,7,1661,1,added_rules
implicit_no_reasoning_no_correction,134,1,279,1,added_facts
implicit_no_reasoning_no_correction,134,2,629,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,134,3,1032,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,134,4,1351,1,added_facts
implicit_no_reasoning_no_correction,134,5,1653,1,added_facts
implicit_no_reasoning_no_correction,134,6,2009,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,134,7,2350,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,30,1,229,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,30,2,473,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,30,3,693,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,30,4,919,1,added_rules;added_facts
implicit_no_reasoning_no_correction,30,5,1229,1,no_change
implicit_no_reasoning_no_correction,30,6,1509,1,added_rules;added_facts
implicit_no_reasoning_no_correction,30,7,1888,1,added_facts
implicit_no_reasoning_no_correction,3,1,221,1,added_facts
implicit_no_reasoning_no_correction,3,2,469,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,3,3,730,1,added_rules;added_facts
implicit_no_reasoning_no_correction,3,4,1052,1,added_rules;added_facts
implicit_no_reasoning_no_correction,3,5,1399,1,added_rules;added_facts
implicit_no_reasoning_no_correction,3,6,1806,1,added_rules
implicit_no_reasoning_no_correction,3,7,2256,0,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,147,1,270,0,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,147,2,576,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,147,3,833,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,147,4,1080,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,147,5,1350,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,147,6,1685,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,147,7,2052,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,109,1,235,1,added_facts
implicit_no_reasoning_no_correction,109,2,477,1,added_facts
implicit_no_reasoning_no_correction,109,3,753,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,109,4,1095,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,109,5,1458,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,109,6,1752,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,109,7,2068,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,177,1,254,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,177,2,542,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,177,3,860,1,added_rules;added_facts
implicit_no_reasoning_no_correction,177,4,1236,1,added_rules
implicit_no_reasoning_no_correction,177,5,1641,1,added_rules;added_facts
implicit_no_reasoning_no_correction,177,6,2045,1,added_rules
implicit_no_reasoning_no_correction,177,7,2508,1,added_rules
implicit_no_reasoning_no_correction,127,1,307,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,127,2,636,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,127,3,975,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,127,4,1319,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,127,5,1659,1,added_rules;added_facts
implicit_no_reasoning_no_correction,127,6,2101,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,127,7,2561,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,205,1,290,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,205,2,537,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,205,3,819,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,205,4,1058,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,205,5,1309,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,205,6,1565,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,205,7,1828,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,26,1,296,1,added_rules;added_facts
implicit_no_reasoning_no_correction,26,2,641,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,26,3,964,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,26,4,1290,1,added_rules;added_facts
implicit_no_reasoning_no_correction,26,5,1691,1,added_rules
implicit_no_reasoning_no_correction,26,6,2194,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,26,7,2709,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,114,1,249,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,114,2,508,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,114,3,748,1,added_rules
implicit_no_reasoning_no_correction,114,4,1061,1,added_rules;added_facts
implicit_no_reasoning_no_correction,114,5,1404,1,added_facts
