model,track,n,n_disagree
anthropic/claude-sonnet-4,explicit,2800,0
anthropic/claude-sonnet-4,explicit_no_correction,2800,0
anthropic/claude-sonnet-4,explicit_no_reasoning,2800,0
anthropic/claude-sonnet-4,explicit_no_reasoning_no_correction,2800,0
anthropic/claude-sonnet-4,implicit,2800,0
anthropic/claude-sonnet-4,implicit_no_correction,2800,0
anthropic/claude-sonnet-4,implicit_no_reasoning,2800,0
anthropic/claude-sonnet-4,implicit_no_reasoning_no_correction,2800,0
google/gemini-2-5-flash,explicit,2800,0
google/gemini-2-5-flash,explicit_no_correction,2793,5
google/gemini-2-5-flash,explicit_no_reasoning,2800,4
google/gemini-2-5-flash,explicit_no_reasoning_no_correction,2800,0
google/gemini-2-5-flash,implicit,2800,7
google/gemini-2-5-flash,implicit_no_correction,2800,6
google/gemini-2-5-flash,implicit_no_reasoning,2800,0
google/gemini-2-5-flash,implicit_no_reasoning_no_correction,2793,77
google/gemini-2.5-pro,explicit,2800,0
google/gemini-2.5-pro,explicit_no_correction,2800,0
google/gemini-2.5-pro,explicit_no_reasoning,2800,0
google/gemini-2.5-pro,explicit_no_reasoning_no_correction,2800,0
google/gemini-2.5-pro,implicit,2800,0
google/gemini-2.5-pro,implicit_no_correction,2800,0
google/gemini-2.5-pro,implicit_no_reasoning,2800,0
google/gemini-2.5-pro,implicit_no_reasoning_no_correction,2800,0
google/gemma-3-12b-it,explicit,2800,0
google/gemma-3-12b-it,explicit_no_correction,2800,0
google/gemma-3-12b-it,explicit_no_reasoning,2800,0
google/gemma-3-12b-it,explicit_no_reasoning_no_correction,2800,0
google/gemma-3-12b-it,implicit,2800,1
google/gemma-3-12b-it,implicit_no_correction,2800,1
google/gemma-3-12b-it,implicit_no_reasoning,2800,0
google/gemma-3-12b-it,implicit_no_reasoning_no_correction,2800,0
google/gemma-3-27b-it,explicit,2800,183
google/gemma-3-27b-it,explicit_no_correction,2800,184
google/gemma-3-27b-it,explicit_no_reasoning,2800,1
google/gemma-3-27b-it,explicit_no_reasoning_no_correction,2800,6
google/gemma-3-27b-it,implicit,2800,44
