track,chain_idx,step,token_count,correct,tags
implicit,142,1,564,1,added_rules;added_facts
implicit,142,2,916,1,removed_rules;added_rules;added_facts
implicit,142,3,1259,1,added_rules;added_facts
implicit,142,4,1590,1,added_rules;added_facts
implicit,142,5,1998,1,added_facts
implicit,142,6,2425,1,removed_rules;added_rules
implicit,142,7,2884,0,added_facts
implicit,45,1,545,1,added_rules;added_facts
implicit,45,2,919,1,removed_rules;added_rules;added_facts
implicit,45,3,1273,0,removed_rules;added_rules
implicit,45,4,1651,0,added_rules;added_facts
implicit,45,5,2114,0,added_facts
implicit,45,6,2572,0,added_rules
implicit,45,7,3066,0,removed_facts;removed_rules;added_facts
implicit,196,1,506,0,removed_rules;added_rules;added_facts
implicit,196,2,904,0,added_rules;added_facts
implicit,196,3,1419,0,removed_facts;removed_rules;added_rules
implicit,196,4,1576,0,removed_rules;added_facts
implicit,196,5,1729,0,removed_facts;added_facts
implicit,196,6,1887,0,removed_rules;added_rules;added_facts
implicit,196,7,2048,0,removed_facts;added_rules
implicit,134,1,542,1,added_facts
implicit,134,2,908,1,removed_rules;added_rules;added_facts
implicit,134,3,1361,0,removed_facts;removed_rules;added_rules;added_facts
implicit,134,4,1691,0,added_facts
implicit,134,5,2073,0,added_facts
implicit,134,6,2374,0,removed_facts;removed_rules;added_rules
implicit,134,7,2765,0,removed_facts;added_facts
implicit,99,1,510,1,added_facts
implicit,99,2,831,1,removed_facts;removed_rules;added_rules
implicit,99,3,1149,1,added_rules
implicit,99,4,1530,1,added_rules;added_facts
implicit,99,5,1935,1,added_facts
implicit,99,6,2365,1,added_rules;added_facts
implicit,99,7,2861,0,removed_rules;added_rules
implicit,5,1,631,1,removed_facts;added_facts
implicit,5,2,926,1,added_facts
implicit,5,3,1245,1,removed_facts;added_facts
implicit,5,4,1546,0,removed_facts;added_facts
implicit,5,5,1863,0,removed_facts;removed_rules;added_rules
implicit,5,6,2245,0,added_facts
implicit,5,7,2422,0,removed_facts;added_rules;added_facts
implicit,112,1,570,1,added_rules;added_facts
implicit,112,2,909,0,removed_rules;added_rules
implicit,112,3,1197,0,removed_rules;added_rules;added_facts
implicit,112,4,1553,0,added_rules
implicit,112,5,1937,0,removed_rules;added_rules;added_facts
implicit,112,6,2392,0,removed_facts;removed_rules;added_rules
implicit,112,7,2835,0,removed_rules;added_rules
implicit,194,1,510,0,removed_rules;added_facts
implicit,194,2,733,0,removed_facts;added_rules
implicit,194,3,1006,0,removed_rules;added_rules
implicit,194,4,1303,0,removed_rules;added_rules
implicit,194,5,1611,0,removed_facts;added_rules
implicit,194,6,1877,0,removed_rules;added_rules
implicit,194,7,2142,0,removed_rules;added_rules
implicit,29,1,520,1,removed_rules;added_rules;added_facts
implicit,29,2,817,1,removed_rules;added_rules;added_facts
implicit,29,3,1108,1,added_rules;added_facts
implicit,29,4,1487,0,removed_facts;added_rules
implicit,29,5,1806,0,added_rules;added_facts
implicit,29,6,2316,0,added_rules;added_facts
implicit,29,7,2883,0,removed_facts;removed_rules;added_rules
implicit,143,1,496,1,removed_rules;added_facts
implicit,143,2,748,0,removed_rules;added_rules;added_facts
implicit,143,3,1020,1,removed_facts;added_facts
