label,model,setting,turn_index,acc,slice
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,1,82.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,2,84.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,3,85.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,4,84.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,5,85.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,6,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,7,86.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,1,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,2,90.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,3,93.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,4,92.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,5,93.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,6,95.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,7,94.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,1,90.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,2,79.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,3,70.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,4,68.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,5,68.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,6,67.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,7,70.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,1,91.23,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,2,88.72,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,3,90.23,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,4,91.23,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,5,91.73,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,6,92.23,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,7,92.48,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,1,93.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,2,89.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,3,84.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,4,85.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,5,83.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,6,85.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,7,83.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,1,97.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,2,96.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,3,96.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,4,96.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,5,96.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,6,96.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,7,95.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,1,59.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,2,51.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,3,43.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,4,43.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,5,46.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,6,39.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,7,44.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,1,74.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,2,75.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,3,79.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,4,79.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,5,82.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,6,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,7,82.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,1,59.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,2,60.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,3,63.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,4,64.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,5,61.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,6,58.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,7,61.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,1,75.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,2,76.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,3,83.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,4,83.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,5,85.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,6,87.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,7,86.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,1,46.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,2,45.75,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,3,42.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,4,41.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,5,43.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,6,45.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,7,42.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,1,60.0,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,2,60.5,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,3,64.25,published_full400
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,4,69.25,published_full400
