example_id,turn_index,edit_class,edit_class_recorded,delta_mismatch,n_unrecorded_removed,n_unrecorded_added,answer_changed,modification_type
ex_1006,1,removal,removal,False,0,0,True,FLIP
ex_1006,2,removal,removal,False,0,0,True,FLIP
ex_1006,3,removal,removal,False,0,0,True,FLIP
ex_1006,4,removal,removal,False,0,0,True,FLIP
ex_1006,5,removal,add_only,True,1,0,False,INVARIANT
ex_1006,6,removal,removal,False,0,0,True,FLIP
ex_1006,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1010,1,removal,removal,False,0,0,False,INVARIANT
ex_1010,2,removal,removal,False,0,0,True,FLIP
ex_1010,3,removal,removal,False,0,0,True,FLIP
ex_1010,4,removal,removal,True,0,2,False,INVARIANT
ex_1010,5,removal,removal,False,0,0,False,INVARIANT
ex_1010,6,removal,removal,False,0,0,True,FLIP
ex_1010,7,removal,removal,True,1,1,True,FLIP
ex_1011,1,removal,removal,False,0,0,True,FLIP
ex_1011,2,removal,removal,False,0,0,True,FLIP
ex_1011,3,removal,removal,False,0,0,False,INVARIANT
ex_1011,4,removal,removal,False,0,0,False,INVARIANT
ex_1011,5,removal,removal,False,0,0,True,FLIP
ex_1011,6,removal,add_only,True,1,0,True,FLIP
ex_1011,7,removal,removal,False,0,0,True,FLIP
ex_1016,1,removal,removal,False,0,0,True,FLIP
ex_1016,2,removal,removal,True,0,2,True,FLIP
ex_1016,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1016,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1016,5,removal,removal,False,0,0,True,FLIP
ex_1016,6,removal,removal,True,0,1,True,FLIP
ex_1016,7,add_only,removal,True,0,0,True,FLIP
ex_1026,1,removal,removal,True,1,0,True,FLIP
ex_1026,2,add_only,add_only,False,0,0,False,INVARIANT
ex_1026,3,removal,removal,True,0,1,False,INVARIANT
ex_1026,4,removal,removal,False,0,0,True,FLIP
ex_1026,5,removal,removal,False,0,0,True,FLIP
ex_1026,6,removal,removal,False,0,0,True,FLIP
ex_1026,7,removal,removal,True,1,1,False,INVARIANT
ex_1056,1,removal,removal,False,0,0,True,FLIP
ex_1056,2,removal,removal,True,0,1,False,INVARIANT
ex_1056,3,add_only,add_only,False,0,0,False,INVARIANT
ex_1056,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1056,5,removal,removal,False,0,0,True,FLIP
ex_1056,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1056,7,removal,removal,True,0,1,True,FLIP
ex_1071,1,removal,removal,False,0,0,True,FLIP
ex_1071,2,removal,removal,False,0,0,False,INVARIANT
ex_1071,3,removal,removal,False,0,0,True,FLIP
ex_1071,4,add_only,add_only,False,0,0,False,INVARIANT
ex_1071,5,add_only,add_only,False,0,0,False,INVARIANT
ex_1071,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1071,7,removal,removal,False,0,0,True,FLIP
ex_1095,1,add_only,add_only,False,0,0,False,INVARIANT
ex_1095,2,removal,removal,True,0,2,False,INVARIANT
ex_1095,3,removal,removal,False,0,0,True,FLIP
ex_1095,4,removal,removal,False,0,0,True,FLIP
ex_1095,5,removal,removal,False,0,0,True,FLIP
ex_1095,6,add_only,add_only,False,0,0,False,INVARIANT
ex_1095,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1103,1,removal,removal,True,2,2,True,FLIP
ex_1103,2,removal,removal,False,0,0,False,INVARIANT
ex_1103,3,removal,removal,False,0,0,True,FLIP
ex_1103,4,removal,removal,False,0,0,True,FLIP
ex_1103,5,removal,add_only,True,5,5,False,INVARIANT
ex_1103,6,removal,removal,False,0,0,True,FLIP
ex_1103,7,add_only,add_only,False,0,0,False,INVARIANT
ex_1112,1,removal,add_only,True,2,2,False,INVARIANT
ex_1112,2,removal,removal,False,0,0,True,FLIP
ex_1112,3,removal,removal,False,0,0,True,FLIP
ex_1112,4,removal,removal,False,0,0,True,FLIP
