track,chain_idx,step,token_count,correct,tags
implicit,145,1,590,1,removed_rules;added_rules;added_facts
implicit,145,2,920,1,removed_rules;added_rules;added_facts
implicit,145,3,1242,1,removed_rules;added_rules;added_facts
implicit,145,4,1598,1,removed_facts;removed_rules;added_rules;added_facts
implicit,145,5,1777,1,added_rules
implicit,145,6,2003,1,removed_facts;added_facts
implicit,145,7,2217,1,removed_facts;added_facts
implicit,193,1,495,0,added_rules;added_facts
implicit,193,2,1103,1,removed_rules;added_rules;added_facts
implicit,193,3,1695,1,added_rules;added_facts
implicit,193,4,2069,1,removed_facts;removed_rules;added_rules
implicit,193,5,2475,1,removed_rules;added_rules
implicit,193,6,2879,1,added_rules;added_facts
implicit,193,7,3319,1,added_rules;added_facts
implicit,185,1,388,1,removed_rules;added_rules
implicit,185,2,601,1,removed_facts;added_rules
implicit,185,3,854,1,removed_rules;added_rules
implicit,185,4,1116,1,added_rules;added_facts
implicit,185,5,1359,1,removed_rules;added_rules
implicit,185,6,1610,1,removed_facts;added_rules;added_facts
implicit,185,7,1914,1,removed_facts;added_rules
implicit,196,1,506,1,removed_rules;added_rules;added_facts
implicit,196,2,989,1,added_rules;added_facts
implicit,196,3,1595,1,removed_facts;removed_rules;added_rules
implicit,196,4,1785,1,removed_rules;added_facts
implicit,196,5,1947,1,removed_facts;added_facts
implicit,196,6,2073,1,removed_rules;added_rules;added_facts
implicit,196,7,2216,1,removed_facts;added_rules
implicit,80,1,492,0,added_rules;added_facts
implicit,80,2,879,0,removed_facts;removed_rules;added_rules
implicit,80,3,1225,0,added_rules;added_facts
implicit,80,4,1635,0,added_facts
implicit,80,5,2060,1,added_rules
implicit,80,6,2507,0,removed_facts;added_rules
implicit,80,7,2959,0,no_change
implicit,112,1,570,1,added_rules;added_facts
implicit,112,2,1062,1,removed_rules;added_rules
implicit,112,3,1535,1,removed_rules;added_rules;added_facts
implicit,112,4,1928,1,added_rules
implicit,112,5,2353,1,removed_rules;added_rules;added_facts
implicit,112,6,2804,0,removed_facts;removed_rules;added_rules
implicit,112,7,3164,1,removed_rules;added_rules
implicit,181,1,546,1,added_rules;added_facts
implicit,181,2,951,1,removed_rules;added_rules
implicit,181,3,1336,1,removed_rules;added_rules
implicit,181,4,1646,1,removed_rules;added_rules
implicit,181,5,1992,1,removed_rules;added_rules;added_facts
implicit,181,6,2335,1,removed_facts;added_rules
implicit,181,7,2851,1,removed_rules;added_facts
implicit,177,1,485,1,removed_rules;added_rules;added_facts
implicit,177,2,823,1,removed_rules;added_rules
implicit,177,3,1256,1,added_rules;added_facts
implicit,177,4,1675,1,added_rules
implicit,177,5,2109,1,added_rules;added_facts
implicit,177,6,2605,1,added_rules
implicit,177,7,3107,1,added_rules
implicit,120,1,578,1,added_facts
implicit,120,2,969,1,removed_facts;removed_rules;added_rules
implicit,120,3,1297,1,added_rules;added_facts
implicit,120,4,1656,1,added_facts
implicit,120,5,2072,1,added_rules
implicit,120,6,2518,1,added_rules;added_facts
implicit,120,7,3012,1,added_facts
implicit,38,1,633,1,removed_facts;removed_rules;added_rules
implicit,38,2,970,0,removed_rules;added_rules
implicit,38,3,1335,1,added_rules;added_facts
implicit,38,4,1750,1,added_rules
implicit,38,5,2148,1,added_rules;added_facts
implicit,38,6,2558,1,removed_facts;removed_rules;added_rules
implicit,38,7,2975,1,added_rules;added_facts
implicit,208,1,590,1,added_rules;added_facts
implicit,208,2,1152,1,removed_rules;added_rules
implicit,208,3,1671,1,removed_rules;added_rules;added_facts
implicit,208,4,2149,1,removed_rules;added_rules;added_facts
implicit,208,5,2695,1,removed_facts;removed_rules;added_rules;added_facts
implicit,208,6,2945,1,removed_rules;added_rules;added_facts
implicit,208,7,3255,1,removed_facts;added_rules;added_facts
implicit,67,1,402,1,removed_rules;added_facts
implicit,67,2,636,1,added_facts
implicit,67,3,950,1,removed_facts;added_facts
implicit,67,4,1231,1,added_facts
implicit,67,5,1537,1,removed_rules;added_rules
implicit,67,6,1882,1,removed_facts;removed_rules;added_rules
implicit,67,7,2255,1,added_rules;added_facts
implicit,140,1,440,1,added_rules;added_facts
implicit,140,2,741,1,removed_rules;added_rules
implicit,140,3,1051,1,added_rules;added_facts
implicit,140,4,1480,1,added_rules;added_facts
implicit,140,5,1983,1,added_facts
implicit,140,6,2515,1,removed_facts;removed_rules;added_rules
implicit,140,7,2848,1,added_facts
implicit,90,1,474,1,added_rules
implicit,90,2,885,1,removed_rules;added_facts
