cohort,example_id,turn_index,transition,stored_gold,consistency_mace4,contradiction_prover9,q_prover9,negq_prover9,q_countermodel,negq_countermodel,rederived_gold,prev_q_prover9,prev_negq_prover9,verdict
comparator_add_flip,ex_1713,1,T→F,False,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,EXHAUSTED,INCONSISTENT
comparator_add_flip,ex_1754,2,T→F,False,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,TIMEOUT_MISLABEL
comparator_add_flip,ex_2565,3,T→F,False,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,EXHAUSTED,INCONSISTENT
comparator_add_flip,ex_2708,1,T→F,False,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,TIMEOUT_MISLABEL
comparator_add_flip,ex_2758,2,T→F,False,MODEL,EXHAUSTED,PROVED,EXHAUSTED,EXHAUSTED,MODEL,True,PROVED,EXHAUSTED,TIMEOUT_MISLABEL
comparator_add_flip,ex_3563,2,F→T,True,MODEL,EXHAUSTED,EXHAUSTED,PROVED,MODEL,EXHAUSTED,False,EXHAUSTED,PROVED,TIMEOUT_MISLABEL
comparator_add_flip,ex_3586,5,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,EXHAUSTED,PROVED,INCONSISTENT
comparator_add_flip,ex_3601,1,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,EXHAUSTED,PROVED,INCONSISTENT
comparator_add_flip,ex_3627,1,T→F,False,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,PROVED,EXHAUSTED,INCONSISTENT
comparator_add_flip,ex_3816,2,F→T,True,EXHAUSTED,PROVED,PROVED,PROVED,EXHAUSTED,EXHAUSTED,INCONSISTENT,EXHAUSTED,PROVED,INCONSISTENT
