track,chain_idx,step,token_count,correct,tags
implicit,78,1,494,1,added_rules;added_facts
implicit,78,2,868,1,removed_rules;added_rules
implicit,78,3,1146,1,removed_rules;added_rules
implicit,78,4,1453,1,added_rules
implicit,78,5,1840,1,removed_rules;added_rules
implicit,78,6,2117,1,added_rules;added_facts
implicit,78,7,2473,1,removed_facts;added_rules
implicit,67,1,402,1,removed_rules;added_facts
implicit,67,2,615,1,added_facts
implicit,67,3,905,1,removed_facts;added_facts
implicit,67,4,1198,1,added_facts
implicit,67,5,1501,1,removed_rules;added_rules
implicit,67,6,1841,1,removed_facts;removed_rules;added_rules
implicit,67,7,2133,1,added_rules;added_facts
implicit,142,1,564,1,added_rules;added_facts
implicit,142,2,1206,1,removed_rules;added_rules;added_facts
implicit,142,3,1621,1,added_rules;added_facts
implicit,142,4,2000,1,added_rules;added_facts
implicit,142,5,2365,1,added_facts
implicit,142,6,2746,1,removed_rules;added_rules
implicit,142,7,3155,1,added_facts
implicit,1,1,448,1,removed_rules;added_rules
implicit,1,2,978,1,removed_rules;added_rules;added_facts
implicit,1,3,1248,1,added_rules;added_facts
implicit,1,4,1528,1,added_rules
implicit,1,5,1857,1,removed_facts;removed_rules;added_rules
implicit,1,6,2209,1,removed_rules;added_rules
implicit,1,7,2545,1,removed_rules;added_rules
implicit,147,1,524,1,removed_rules;added_rules;added_facts
implicit,147,2,1173,1,removed_rules;added_rules
implicit,147,3,1539,1,removed_rules;added_facts
implicit,147,4,1781,1,removed_rules;added_rules;added_facts
implicit,147,5,2047,1,removed_rules;added_rules;added_facts
implicit,147,6,2387,1,removed_facts;added_rules
implicit,147,7,2839,1,removed_rules;added_rules
implicit,123,1,518,1,removed_facts;added_rules
implicit,123,2,777,1,added_rules;added_facts
implicit,123,3,1104,1,added_rules
implicit,123,4,1502,1,added_rules
implicit,123,5,1958,1,added_rules;added_facts
implicit,123,6,2434,1,removed_facts;removed_rules;added_rules
implicit,123,7,2935,1,removed_rules;added_rules
implicit,52,1,443,1,removed_facts;added_rules
implicit,52,2,683,1,added_rules;added_facts
implicit,52,3,946,1,added_rules;added_facts
implicit,52,4,1242,1,removed_facts;removed_rules;added_rules
implicit,52,5,1631,1,added_rules
implicit,52,6,2075,1,removed_rules;added_rules
implicit,52,7,2550,1,added_rules
implicit,205,1,573,1,removed_rules;added_rules
implicit,205,2,841,1,removed_rules;added_rules
implicit,205,3,1123,1,removed_facts;added_facts
implicit,205,4,1407,1,removed_facts;added_rules
implicit,205,5,1690,1,removed_rules;added_rules
implicit,205,6,2026,1,removed_rules;added_rules
implicit,205,7,2360,1,removed_rules;added_rules
implicit,3,1,428,1,added_facts
implicit,3,2,758,1,removed_rules;added_rules;added_facts
implicit,3,3,1061,1,added_rules;added_facts
implicit,3,4,1464,1,added_rules;added_facts
implicit,3,5,1802,1,added_rules;added_facts
implicit,3,6,2201,1,added_rules
implicit,3,7,2637,1,removed_facts;removed_rules;added_rules
implicit,194,1,510,1,removed_rules;added_facts
implicit,194,2,856,1,removed_facts;added_rules
implicit,194,3,1231,1,removed_rules;added_rules
implicit,194,4,1626,1,removed_rules;added_rules
implicit,194,5,1961,1,removed_facts;added_rules
implicit,194,6,2285,1,removed_rules;added_rules
implicit,194,7,2582,1,removed_rules;added_rules
implicit,156,1,582,1,added_rules;added_facts
implicit,156,2,875,1,removed_facts;removed_rules;added_rules
implicit,156,3,1307,1,removed_rules;added_rules
implicit,156,4,1735,1,added_rules;added_facts
implicit,156,5,2218,1,added_rules;added_facts
implicit,156,6,2651,1,added_rules;added_facts
implicit,156,7,3188,1,removed_facts;removed_rules;added_rules
implicit,145,1,590,1,removed_rules;added_rules;added_facts
implicit,145,2,891,1,removed_rules;added_rules;added_facts
implicit,145,3,1188,1,removed_rules;added_rules;added_facts
implicit,145,4,1498,1,removed_facts;removed_rules;added_rules;added_facts
implicit,145,5,1710,1,added_rules
implicit,145,6,1950,1,removed_facts;added_facts
implicit,145,7,2153,1,removed_facts;added_facts
implicit,109,1,433,1,added_facts
implicit,109,2,828,1,added_facts
implicit,109,3,1089,1,removed_rules;added_rules;added_facts
implicit,109,4,1399,1,removed_facts;removed_rules;added_rules
implicit,109,5,1885,1,removed_rules;added_rules
implicit,109,6,2208,1,removed_rules;added_rules
implicit,109,7,2559,1,removed_rules;added_rules
implicit,114,1,466,1,removed_facts;added_rules;added_facts
implicit,114,2,752,1,removed_rules;added_rules
implicit,114,3,1013,1,added_rules
implicit,114,4,1326,1,added_rules;added_facts
implicit,114,5,1714,1,added_facts
implicit,114,6,2166,1,added_rules
implicit,114,7,2542,1,added_rules;added_facts
implicit,60,1,480,1,removed_facts;removed_rules;added_rules;added_facts
implicit,60,2,819,1,removed_facts;removed_rules;added_rules;added_facts
implicit,60,3,1137,1,removed_rules;added_rules;added_facts
implicit,60,4,1537,1,added_facts
implicit,60,5,1925,1,removed_rules;added_rules
implicit,60,6,2338,1,removed_rules;added_rules
implicit,60,7,2772,1,removed_rules;added_rules
implicit,41,1,452,1,added_facts
implicit,41,2,856,1,added_facts
implicit,41,3,1119,1,removed_facts;removed_rules;added_rules
implicit,41,4,1473,1,added_rules;added_facts
