model,setting,edit_class,answer_changed,autopsy,n,share
anthropic/claude-sonnet-4,explicit,add_only,False,spurious_flip,27,0.3462
anthropic/claude-sonnet-4,explicit,add_only,False,spurious_to_uncertain,51,0.6538
anthropic/claude-sonnet-4,explicit,add_only,True,stale,6,0.6
anthropic/claude-sonnet-4,explicit,add_only,True,uncertain_retreat,4,0.4
anthropic/claude-sonnet-4,explicit,removal,False,spurious_flip,13,0.2889
anthropic/claude-sonnet-4,explicit,removal,False,spurious_to_uncertain,32,0.7111
anthropic/claude-sonnet-4,explicit,removal,True,stale,30,0.2041
anthropic/claude-sonnet-4,explicit,removal,True,uncertain_retreat,117,0.7959
anthropic/claude-sonnet-4,implicit,add_only,False,spurious_flip,25,0.4808
anthropic/claude-sonnet-4,implicit,add_only,False,spurious_to_uncertain,27,0.5192
anthropic/claude-sonnet-4,implicit,add_only,True,stale,8,0.6667
anthropic/claude-sonnet-4,implicit,add_only,True,uncertain_retreat,4,0.3333
anthropic/claude-sonnet-4,implicit,removal,False,spurious_flip,14,0.5833
anthropic/claude-sonnet-4,implicit,removal,False,spurious_to_uncertain,10,0.4167
anthropic/claude-sonnet-4,implicit,removal,True,stale,25,0.2778
anthropic/claude-sonnet-4,implicit,removal,True,uncertain_retreat,65,0.7222
google/gemini-2-5-flash,explicit,add_only,False,other_invariant,4,0.019
google/gemini-2-5-flash,explicit,add_only,False,spurious_flip,60,0.2857
google/gemini-2-5-flash,explicit,add_only,False,spurious_to_uncertain,146,0.6952
google/gemini-2-5-flash,explicit,add_only,True,stale,5,0.5
google/gemini-2-5-flash,explicit,add_only,True,uncertain_retreat,5,0.5
google/gemini-2-5-flash,explicit,removal,False,other_invariant,4,0.0513
google/gemini-2-5-flash,explicit,removal,False,spurious_flip,29,0.3718
google/gemini-2-5-flash,explicit,removal,False,spurious_to_uncertain,45,0.5769
google/gemini-2-5-flash,explicit,removal,True,other_changed,9,0.0345
google/gemini-2-5-flash,explicit,removal,True,stale,56,0.2146
google/gemini-2-5-flash,explicit,removal,True,uncertain_retreat,196,0.751
google/gemini-2-5-flash,implicit,add_only,False,other_invariant,6,0.1818
google/gemini-2-5-flash,implicit,add_only,False,spurious_flip,21,0.6364
google/gemini-2-5-flash,implicit,add_only,False,spurious_to_uncertain,6,0.1818
google/gemini-2-5-flash,implicit,add_only,True,stale,9,0.9
google/gemini-2-5-flash,implicit,add_only,True,uncertain_retreat,1,0.1
google/gemini-2-5-flash,implicit,removal,False,spurious_flip,13,1.0
google/gemini-2-5-flash,implicit,removal,True,other_changed,6,0.0759
google/gemini-2-5-flash,implicit,removal,True,stale,47,0.5949
google/gemini-2-5-flash,implicit,removal,True,uncertain_retreat,26,0.3291
google/gemini-2.5-pro,explicit,add_only,False,spurious_flip,39,0.4535
google/gemini-2.5-pro,explicit,add_only,False,spurious_to_uncertain,47,0.5465
google/gemini-2.5-pro,explicit,add_only,True,stale,7,1.0
google/gemini-2.5-pro,explicit,removal,False,spurious_flip,13,0.4194
google/gemini-2.5-pro,explicit,removal,False,spurious_to_uncertain,18,0.5806
google/gemini-2.5-pro,explicit,removal,True,stale,35,0.2893
google/gemini-2.5-pro,explicit,removal,True,uncertain_retreat,86,0.7107
google/gemini-2.5-pro,implicit,add_only,False,spurious_flip,16,0.8
google/gemini-2.5-pro,implicit,add_only,False,spurious_to_uncertain,4,0.2
google/gemini-2.5-pro,implicit,add_only,True,stale,7,0.875
google/gemini-2.5-pro,implicit,add_only,True,uncertain_retreat,1,0.125
google/gemini-2.5-pro,implicit,removal,False,spurious_flip,7,0.875
google/gemini-2.5-pro,implicit,removal,False,spurious_to_uncertain,1,0.125
google/gemini-2.5-pro,implicit,removal,True,stale,29,0.6905
google/gemini-2.5-pro,implicit,removal,True,uncertain_retreat,13,0.3095
google/gemma-3-12b-it,explicit,add_only,False,other_invariant,1,0.0027
google/gemma-3-12b-it,explicit,add_only,False,spurious_flip,50,0.1374
google/gemma-3-12b-it,explicit,add_only,False,spurious_to_uncertain,313,0.8599
google/gemma-3-12b-it,explicit,add_only,True,stale,5,0.4545
google/gemma-3-12b-it,explicit,add_only,True,uncertain_retreat,6,0.5455
google/gemma-3-12b-it,explicit,removal,False,spurious_flip,22,0.0982
google/gemma-3-12b-it,explicit,removal,False,spurious_to_uncertain,202,0.9018
google/gemma-3-12b-it,explicit,removal,True,other_changed,2,0.0034
google/gemma-3-12b-it,explicit,removal,True,stale,58,0.098
google/gemma-3-12b-it,explicit,removal,True,uncertain_retreat,532,0.8986
google/gemma-3-12b-it,implicit,add_only,False,other_invariant,4,0.0328
google/gemma-3-12b-it,implicit,add_only,False,spurious_flip,72,0.5902
google/gemma-3-12b-it,implicit,add_only,False,spurious_to_uncertain,46,0.377
google/gemma-3-12b-it,implicit,add_only,True,stale,8,0.8889
google/gemma-3-12b-it,implicit,add_only,True,uncertain_retreat,1,0.1111
google/gemma-3-12b-it,implicit,removal,False,other_invariant,3,0.0476
google/gemma-3-12b-it,implicit,removal,False,spurious_flip,38,0.6032
google/gemma-3-12b-it,implicit,removal,False,spurious_to_uncertain,22,0.3492
google/gemma-3-12b-it,implicit,removal,True,other_changed,4,0.0149
google/gemma-3-12b-it,implicit,removal,True,stale,177,0.6604
google/gemma-3-12b-it,implicit,removal,True,uncertain_retreat,87,0.3246
google/gemma-3-27b-it,explicit,add_only,False,spurious_flip,68,0.2345
google/gemma-3-27b-it,explicit,add_only,False,spurious_to_uncertain,222,0.7655
google/gemma-3-27b-it,explicit,add_only,True,stale,4,0.4
google/gemma-3-27b-it,explicit,add_only,True,uncertain_retreat,6,0.6
google/gemma-3-27b-it,explicit,removal,False,spurious_flip,32,0.1829
google/gemma-3-27b-it,explicit,removal,False,spurious_to_uncertain,143,0.8171
google/gemma-3-27b-it,explicit,removal,True,stale,56,0.1505
google/gemma-3-27b-it,explicit,removal,True,uncertain_retreat,316,0.8495
