label,model,setting,n_examples_published_full400,lcata@2_published_full400,lcata@4_published_full400,lcata@7_published_full400,n_examples_preview,lcata@2_preview,lcata@4_preview,lcata@7_preview,delta@2,delta@4,delta@7
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,explicit,400,71.5,57.25,45.25,148,74.32,60.14,49.32,2.82,2.89,4.07
"BIASED_SUBSET_PREVIEW — internal only, not for paper",anthropic/claude-sonnet-4,implicit,400,79.5,73.0,66.75,148,83.11,79.05,75.68,3.61,6.05,8.93
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,explicit,400,72.25,43.5,29.0,148,77.03,45.95,31.76,4.78,2.45,2.76
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2-5-flash,implicit,399,83.96,77.44,71.68,148,91.22,87.84,82.43,7.26,10.4,10.75
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,explicit,400,84.0,67.0,49.25,148,89.86,72.3,55.41,5.86,5.3,6.16
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemini-2.5-pro,implicit,400,94.5,89.5,83.25,148,97.97,97.3,95.27,3.47,7.8,12.02
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,explicit,400,32.75,9.75,2.75,148,34.46,11.49,4.05,1.71,1.74,1.3
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-12b-it,implicit,400,58.0,43.0,31.75,148,59.46,45.95,37.16,1.46,2.95,5.41
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,explicit,400,39.75,21.75,7.25,148,36.49,16.22,6.76,-3.26,-5.53,-0.49
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-27b-it,implicit,400,62.0,50.25,42.0,148,66.22,58.11,50.68,4.22,7.86,8.68
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,explicit,400,25.0,6.75,2.0,148,26.35,6.08,2.03,1.35,-0.67,0.03
"BIASED_SUBSET_PREVIEW — internal only, not for paper",google/gemma-3-4b-it,implicit,400,39.75,22.5,13.0,148,44.59,24.32,16.22,4.84,1.82,3.22
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,explicit,400,31.25,9.5,2.25,148,37.84,12.16,4.73,6.59,2.66,2.48
"BIASED_SUBSET_PREVIEW — internal only, not for paper",moonshotai/kimi-k2-0905,implicit,400,70.75,57.0,46.75,148,72.3,61.49,50.68,1.55,4.49,3.93
