track,chain_idx,step,token_count,correct,tags
implicit_no_reasoning_no_correction,26,1,296,0,added_rules;added_facts
implicit_no_reasoning_no_correction,26,2,663,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,26,3,1003,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,26,4,1369,1,added_rules;added_facts
implicit_no_reasoning_no_correction,26,5,1782,1,added_rules
implicit_no_reasoning_no_correction,26,6,2323,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,26,7,2809,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,7,1,265,1,added_facts
implicit_no_reasoning_no_correction,7,2,612,1,added_rules
implicit_no_reasoning_no_correction,7,3,1108,1,added_rules
implicit_no_reasoning_no_correction,7,4,1609,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,7,5,2087,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,7,6,2576,1,added_rules
implicit_no_reasoning_no_correction,7,7,3132,1,added_rules
implicit_no_reasoning_no_correction,142,1,283,1,added_rules;added_facts
implicit_no_reasoning_no_correction,142,2,639,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,142,3,981,1,added_rules;added_facts
implicit_no_reasoning_no_correction,142,4,1306,1,added_rules;added_facts
implicit_no_reasoning_no_correction,142,5,1690,1,added_facts
implicit_no_reasoning_no_correction,142,6,2078,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,142,7,2584,1,added_facts
implicit_no_reasoning_no_correction,99,1,262,1,added_facts
implicit_no_reasoning_no_correction,99,2,570,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,99,3,902,1,added_rules
implicit_no_reasoning_no_correction,99,4,1290,1,added_rules;added_facts
implicit_no_reasoning_no_correction,99,5,1682,1,added_facts
implicit_no_reasoning_no_correction,99,6,2110,1,added_rules;added_facts
implicit_no_reasoning_no_correction,99,7,2589,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,5,1,304,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,5,2,604,1,added_facts
implicit_no_reasoning_no_correction,5,3,952,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,5,4,1293,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,5,5,1608,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,5,6,1986,1,added_facts
implicit_no_reasoning_no_correction,5,7,2155,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,35,1,277,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,35,2,599,1,added_facts
implicit_no_reasoning_no_correction,35,3,917,1,added_rules
implicit_no_reasoning_no_correction,35,4,1261,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,35,5,1620,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,35,6,2007,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,35,7,2419,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,1,323,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,151,2,705,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,3,1018,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,4,1390,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,151,5,1749,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,6,2105,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,7,2512,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,179,1,230,0,no_change
implicit_no_reasoning_no_correction,179,2,392,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,179,3,582,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,179,4,836,1,added_rules
implicit_no_reasoning_no_correction,179,5,1103,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,179,6,1476,0,removed_rules;added_rules
implicit_no_reasoning_no_correction,179,7,1921,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,50,1,285,1,added_rules;added_facts
implicit_no_reasoning_no_correction,50,2,742,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,50,3,1081,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,50,4,1438,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,50,5,1760,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,50,6,2085,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,50,7,2436,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,114,1,249,1,removed_facts;added_rules;added_facts
