track,chain_idx,step,token_count,correct,tags
implicit_no_reasoning_no_correction,1,1,224,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,1,2,572,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,1,3,816,1,added_rules;added_facts
implicit_no_reasoning_no_correction,1,4,1106,1,added_rules
implicit_no_reasoning_no_correction,1,5,1473,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,1,6,1784,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,1,7,2080,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,1,294,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,2,620,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,3,966,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,4,1301,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,5,1648,1,added_rules
implicit_no_reasoning_no_correction,72,6,1996,1,added_rules;added_facts
implicit_no_reasoning_no_correction,72,7,2346,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,12,1,273,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,12,2,575,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,12,3,958,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,12,4,1358,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,12,5,1679,1,added_rules;added_facts
implicit_no_reasoning_no_correction,12,6,1982,1,added_rules
implicit_no_reasoning_no_correction,12,7,2310,1,added_rules;added_facts
implicit_no_reasoning_no_correction,103,1,242,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,103,2,509,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,103,3,745,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,103,4,1038,1,added_rules;added_facts
implicit_no_reasoning_no_correction,103,5,1268,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,103,6,1518,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,103,7,1804,1,removed_rules;added_rules
