filename,total_entries,qwen/qwen3-235b-a22b-2507,google/gemini-2.5-flash,openai/gpt-5-mini,majority
ex_1430.json,7,1,0,1,True
prev_ex_328.json,7,0,1,1,True
ex_1963.json,7,0,1,0,False
ex_399.json,7,0,1,1,True
prev_ex_282.json,7,0,0,0,False
ex_1060.json,7,0,0,0,False
ex_233.json,7,0,1,0,False
ex_663.json,7,0,1,0,False
ex_1125.json,7,1,0,1,True
ex_3661.json,7,1,1,1,True
ex_2709.json,7,0,1,1,True
ex_376.json,7,0,1,1,True
ex_1575.json,7,0,1,0,False
ex_2070.json,7,1,1,1,True
ex_2420.json,7,0,0,0,False
prev_ex_451.json,7,0,1,1,True
ex_2836.json,7,0,0,0,False
ex_3724.json,7,1,1,0,True
prev_ex_144.json,7,0,1,0,False
ex_2565.json,7,0,1,1,True
ex_1934.json,7,0,1,1,True
ex_771.json,7,1,1,1,True
ex_1467.json,7,0,0,0,False
prev_ex_390.json,7,1,0,0,False
ex_1349.json,7,0,0,0,False
ex_2477.json,7,0,1,1,True
prev_ex_406.json,7,0,1,1,True
ex_3773.json,7,0,1,1,True
ex_272.json,7,0,0,0,False
ex_1522.json,7,0,0,0,False
ex_2162.json,7,0,1,0,False
ex_622.json,7,1,1,1,True
ex_2498.json,7,0,1,1,True
ex_1471.json,7,1,1,1,True
ex_1922.json,7,0,1,1,True
ex_2748.json,7,1,1,1,True
ex_3509.json,7,1,1,1,True
ex_2318.json,7,0,0,0,False
ex_1164.json,7,0,1,1,True
prev_ex_105.json,7,0,1,1,True
ex_1888.json,7,0,1,0,False
ex_2031.json,7,0,1,1,True
ex_2524.json,7,0,1,1,True
ex_858.json,7,0,1,0,False
prev_ex_294.json,7,0,1,1,True
prev_ex_410.json,7,0,0,1,False
ex_2174.json,7,0,1,1,True
ex_2461.json,7,0,1,1,True
ex_1758.json,7,0,0,0,False
ex_52.json,7,0,0,0,False
prev_ex_10.json,7,0,1,1,True
ex_675.json,7,0,1,1,True
ex_1133.json,7,0,1,1,True
ex_1099.json,7,0,0,0,False
prev_ex_152.json,7,1,1,1,True
prev_ex_447.json,7,1,1,1,True
prev_ex_84.json,7,1,1,1,True
ex_2820.json,7,1,1,1,True
ex_1148.json,7,0,0,0,False
ex_3525.json,7,1,1,1,True
ex_2621.json,7,1,1,1,True
ex_1774.json,7,0,1,1,True
ex_198.json,7,1,1,1,True
ex_177.json,7,1,1,1,True
ex_1261.json,7,1,1,1,True
prev_ex_200.json,7,0,0,0,False
ex_3572.json,7,1,1,1,True
ex_1631.json,7,0,1,0,False
ex_2573.json,7,0,0,0,False
prev_ex_129.json,7,0,0,0,False
ex_3964.json,7,1,1,1,True
ex_2676.json,7,1,1,0,True
ex_2226.json,7,1,1,1,True
ex_209.json,7,1,1,1,True
prev_ex_9.json,7,1,1,1,True
ex_659.json,7,0,0,0,False
ex_1373.json,7,1,1,1,True
ex_823.json,7,1,1,1,True
prev_ex_484.json,7,1,1,1,True
ex_435.json,7,0,0,0,False
ex_1666.json,7,1,1,0,True
ex_1689.json,7,0,0,0,False
ex_2375.json,7,1,1,0,True
prev_ex_241.json,7,1,1,1,True
ex_3837.json,7,1,1,1,True
ex_3564.json,7,0,0,0,False
prev_ex_187.json,7,0,0,0,False
ex_1109.json,7,0,0,1,False
ex_2549.json,7,1,1,1,True
prev_ex_304.json,7,0,0,0,False
ex_589.json,7,0,0,0,False
prev_ex_216.json,7,0,0,0,False
ex_136.json,7,0,0,0,False
ex_2288.json,7,0,0,0,False
ex_2267.json,7,0,1,1,True
ex_3860.json,7,0,1,1,True
