category,rank,model,score
Overall,1,gemini-2.5-pro,0.7723
Overall,2,claude-sonnet-4,0.7043
Overall,3,gemini-2-5-flash,0.6264
Overall,4,grok-code-fast-1,0.6224
Overall,5,qwen3-235b-a22b-2507,0.5819
COT Reasoning,1,gemini-2.5-pro,0.7719
COT Reasoning,2,claude-sonnet-4,0.7479
COT Reasoning,3,grok-code-fast-1,0.6302
COT Reasoning,4,gemini-2-5-flash,0.6201
COT Reasoning,5,qwen3-235b-a22b-2507,0.5917
Explicit Reasoning,1,gemini-2.5-pro,0.65
Explicit Reasoning,2,claude-sonnet-4,0.6304
Explicit Reasoning,3,grok-code-fast-1,0.5625
Explicit Reasoning,4,gemini-2-5-flash,0.458
Explicit Reasoning,5,qwen3-235b-a22b-2507,0.4185
Implicit Reasoning,1,gemini-2.5-pro,0.8946
Implicit Reasoning,2,gemini-2-5-flash,0.7949
Implicit Reasoning,3,claude-sonnet-4,0.7781
Implicit Reasoning,4,qwen3-30b-a3b-thinking-2507,0.761
Implicit Reasoning,5,qwen3-235b-a22b-2507,0.7452
Correction Utilization,1,qwen-2.5-coder-32b-instruct,0.0708
Correction Utilization,2,gpt-oss-20b,0.0196
Correction Utilization,3,gemma-3-27b-it,0.0183
Correction Utilization,4,qwen3-coder,0.016
Correction Utilization,5,gemma-3-12b-it,0.0096
Efficiency (Score/Billion),1,gemini-2-5-flash,12.53
Efficiency (Score/Billion),2,gpt-4.1-mini,5.32
Efficiency (Score/Billion),3,gemma-3-4b-it,4.91
Efficiency (Score/Billion),4,gpt-5-nano,3.3
Efficiency (Score/Billion),5,gemma-3-12b-it,2.67
