model,track,setting,prompting,feedback,n_examples
anthropic/claude-sonnet-4,explicit,explicit,cot,True,400
anthropic/claude-sonnet-4,explicit_no_reasoning,explicit,standard,True,400
anthropic/claude-sonnet-4,explicit_no_correction,explicit,cot,False,400
anthropic/claude-sonnet-4,explicit_no_reasoning_no_correction,explicit,standard,False,400
anthropic/claude-sonnet-4,implicit,implicit,cot,True,400
anthropic/claude-sonnet-4,implicit_no_reasoning,implicit,standard,True,400
anthropic/claude-sonnet-4,implicit_no_correction,implicit,cot,False,400
anthropic/claude-sonnet-4,implicit_no_reasoning_no_correction,implicit,standard,False,400
google/gemini-2-5-flash,explicit,explicit,cot,True,400
google/gemini-2-5-flash,explicit_no_reasoning,explicit,standard,True,400
google/gemini-2-5-flash,explicit_no_correction,explicit,cot,False,399
google/gemini-2-5-flash,explicit_no_reasoning_no_correction,explicit,standard,False,400
google/gemini-2-5-flash,implicit,implicit,cot,True,400
google/gemini-2-5-flash,implicit_no_reasoning,implicit,standard,True,400
google/gemini-2-5-flash,implicit_no_correction,implicit,cot,False,400
google/gemini-2-5-flash,implicit_no_reasoning_no_correction,implicit,standard,False,399
google/gemini-2.5-pro,explicit,explicit,cot,True,400
google/gemini-2.5-pro,explicit_no_reasoning,explicit,standard,True,400
google/gemini-2.5-pro,explicit_no_correction,explicit,cot,False,400
google/gemini-2.5-pro,explicit_no_reasoning_no_correction,explicit,standard,False,400
google/gemini-2.5-pro,implicit,implicit,cot,True,400
google/gemini-2.5-pro,implicit_no_reasoning,implicit,standard,True,400
google/gemini-2.5-pro,implicit_no_correction,implicit,cot,False,400
google/gemini-2.5-pro,implicit_no_reasoning_no_correction,implicit,standard,False,400
google/gemma-3-12b-it,explicit,explicit,cot,True,400
google/gemma-3-12b-it,explicit_no_reasoning,explicit,standard,True,400
google/gemma-3-12b-it,explicit_no_correction,explicit,cot,False,400
google/gemma-3-12b-it,explicit_no_reasoning_no_correction,explicit,standard,False,400
google/gemma-3-12b-it,implicit,implicit,cot,True,400
google/gemma-3-12b-it,implicit_no_reasoning,implicit,standard,True,400
google/gemma-3-12b-it,implicit_no_correction,implicit,cot,False,400
google/gemma-3-12b-it,implicit_no_reasoning_no_correction,implicit,standard,False,400
google/gemma-3-27b-it,explicit,explicit,cot,True,400
google/gemma-3-27b-it,explicit_no_reasoning,explicit,standard,True,400
google/gemma-3-27b-it,explicit_no_correction,explicit,cot,False,400
google/gemma-3-27b-it,explicit_no_reasoning_no_correction,explicit,standard,False,400
google/gemma-3-27b-it,implicit,implicit,cot,True,400
google/gemma-3-27b-it,implicit_no_reasoning,implicit,standard,True,400
google/gemma-3-27b-it,implicit_no_correction,implicit,cot,False,400
google/gemma-3-27b-it,implicit_no_reasoning_no_correction,implicit,standard,False,400
google/gemma-3-4b-it,explicit,explicit,cot,True,400
google/gemma-3-4b-it,explicit_no_reasoning,explicit,standard,True,400
google/gemma-3-4b-it,explicit_no_correction,explicit,cot,False,400
google/gemma-3-4b-it,explicit_no_reasoning_no_correction,explicit,standard,False,400
google/gemma-3-4b-it,implicit,implicit,cot,True,400
google/gemma-3-4b-it,implicit_no_reasoning,implicit,standard,True,400
google/gemma-3-4b-it,implicit_no_correction,implicit,cot,False,400
google/gemma-3-4b-it,implicit_no_reasoning_no_correction,implicit,standard,False,400
moonshotai/kimi-k2-0905,explicit,explicit,cot,True,400
moonshotai/kimi-k2-0905,explicit_no_reasoning,explicit,standard,True,400
moonshotai/kimi-k2-0905,explicit_no_correction,explicit,cot,False,400
moonshotai/kimi-k2-0905,explicit_no_reasoning_no_correction,explicit,standard,False,400
moonshotai/kimi-k2-0905,implicit,implicit,cot,True,400
moonshotai/kimi-k2-0905,implicit_no_reasoning,implicit,standard,True,400
moonshotai/kimi-k2-0905,implicit_no_correction,implicit,cot,False,400
moonshotai/kimi-k2-0905,implicit_no_reasoning_no_correction,implicit,standard,False,400
openai/gpt-4.1-mini,explicit,explicit,cot,True,400
openai/gpt-4.1-mini,explicit_no_reasoning,explicit,standard,True,400
openai/gpt-4.1-mini,explicit_no_correction,explicit,cot,False,400
openai/gpt-4.1-mini,explicit_no_reasoning_no_correction,explicit,standard,False,400
openai/gpt-4.1-mini,implicit,implicit,cot,True,400
openai/gpt-4.1-mini,implicit_no_reasoning,implicit,standard,True,400
openai/gpt-4.1-mini,implicit_no_correction,implicit,cot,False,400
openai/gpt-4.1-mini,implicit_no_reasoning_no_correction,implicit,standard,False,400
openai/gpt-5-nano,explicit,explicit,cot,True,400
openai/gpt-5-nano,explicit_no_reasoning,explicit,standard,True,400
openai/gpt-5-nano,explicit_no_correction,explicit,cot,False,400
openai/gpt-5-nano,explicit_no_reasoning_no_correction,explicit,standard,False,400
openai/gpt-5-nano,implicit,implicit,cot,True,400
openai/gpt-5-nano,implicit_no_reasoning,implicit,standard,True,400
openai/gpt-5-nano,implicit_no_correction,implicit,cot,False,400
openai/gpt-5-nano,implicit_no_reasoning_no_correction,implicit,standard,False,400
openai/gpt-oss-120b,explicit,explicit,cot,True,400
openai/gpt-oss-120b,explicit_no_reasoning,explicit,standard,True,400
openai/gpt-oss-120b,explicit_no_correction,explicit,cot,False,400
openai/gpt-oss-120b,explicit_no_reasoning_no_correction,explicit,standard,False,400
openai/gpt-oss-120b,implicit,implicit,cot,True,400
