track,chain_idx,step,token_count,correct,tags
implicit,67,1,402,1,removed_rules;added_facts
implicit,67,2,579,1,added_facts
implicit,67,3,795,1,removed_facts;added_facts
implicit,67,4,1010,1,added_facts
implicit,67,5,1244,1,removed_rules;added_rules
implicit,67,6,1515,1,removed_facts;removed_rules;added_rules
implicit,67,7,1788,1,added_rules;added_facts
implicit,76,1,495,1,added_facts
implicit,76,2,762,1,removed_facts;added_facts
implicit,76,3,1033,1,removed_facts;added_rules
implicit,76,4,1293,1,removed_rules;added_facts
implicit,76,5,1553,1,added_rules;added_facts
implicit,76,6,1822,1,removed_facts;removed_rules;added_rules
implicit,76,7,2064,1,removed_rules;added_rules
implicit,93,1,526,1,added_rules;added_facts
implicit,93,2,843,1,added_facts
implicit,93,3,1177,1,removed_facts;removed_rules;added_rules
implicit,93,4,1508,1,added_rules
implicit,93,5,1859,0,removed_rules;added_rules;added_facts
implicit,93,6,2220,1,added_facts
implicit,93,7,2682,1,added_facts
implicit,206,1,456,1,added_facts
implicit,206,2,747,1,added_rules
implicit,206,3,1041,1,removed_rules;added_rules
implicit,206,4,1345,1,added_rules;added_facts
implicit,206,5,1631,1,added_rules;added_facts
implicit,206,6,1954,1,added_rules;added_facts
implicit,206,7,2331,1,removed_facts;removed_rules;added_rules
implicit,198,1,600,1,added_rules
implicit,198,2,889,1,removed_facts;added_facts
implicit,198,3,1159,1,added_facts
implicit,198,4,1503,1,added_rules;added_facts
implicit,198,5,1835,1,added_facts
implicit,198,6,2199,1,added_facts
implicit,198,7,2631,1,removed_rules;added_rules;added_facts
implicit,22,1,604,1,added_rules;added_facts
implicit,22,2,955,1,removed_facts;added_facts
implicit,22,3,1280,1,removed_rules;added_rules
implicit,22,4,1604,1,added_rules;added_facts
implicit,22,5,2016,1,removed_facts;removed_rules;added_facts
implicit,22,6,2402,1,added_facts
implicit,22,7,2790,1,added_rules;added_facts
implicit,131,1,642,1,removed_facts;added_rules
implicit,131,2,916,1,removed_rules;added_rules;added_facts
implicit,131,3,1210,0,removed_rules;added_rules
implicit,131,4,1548,1,removed_facts;removed_rules;added_rules
implicit,131,5,1886,1,removed_rules;added_rules;added_facts
implicit,131,6,2189,1,removed_rules;added_rules
implicit,131,7,2503,1,added_facts
implicit,30,1,456,1,removed_rules;added_rules
implicit,30,2,696,1,removed_rules;added_rules
implicit,30,3,908,1,removed_rules;added_rules
implicit,30,4,1131,1,added_rules;added_facts
implicit,30,5,1404,1,no_change
implicit,30,6,1671,1,added_rules;added_facts
implicit,30,7,2038,1,added_facts
implicit,5,1,631,1,removed_facts;added_facts
implicit,5,2,947,1,added_facts
implicit,5,3,1273,1,removed_facts;added_facts
implicit,5,4,1583,1,removed_facts;added_facts
implicit,5,5,1908,1,removed_facts;removed_rules;added_rules
implicit,5,6,2268,1,added_facts
implicit,5,7,2412,1,removed_facts;added_rules;added_facts
implicit,81,1,540,1,added_rules
implicit,81,2,868,1,removed_facts;added_facts
implicit,81,3,1191,1,removed_rules;added_rules
implicit,81,4,1523,1,added_rules;added_facts
implicit,81,5,1967,1,added_rules;added_facts
implicit,81,6,2485,1,removed_facts;removed_rules;added_rules
implicit,81,7,2995,1,added_rules;added_facts
implicit,26,1,597,0,added_rules;added_facts
implicit,26,2,945,1,removed_rules;added_rules
implicit,26,3,1291,1,removed_rules;added_rules
implicit,26,4,1645,1,added_rules;added_facts
implicit,26,5,2082,1,added_rules
implicit,26,6,2617,1,removed_facts;removed_rules;added_rules
implicit,26,7,3146,1,removed_rules;added_rules
implicit,42,1,501,1,removed_facts;added_rules;added_facts
implicit,42,2,761,1,removed_rules;added_rules
implicit,42,3,1043,1,added_rules
implicit,42,4,1377,1,removed_rules;added_rules;added_facts
implicit,42,5,1713,1,added_rules
implicit,42,6,2082,1,added_facts
implicit,42,7,2488,1,removed_rules;added_facts
implicit,41,1,452,1,added_facts
implicit,41,2,719,1,added_facts
implicit,41,3,968,1,removed_facts;removed_rules;added_rules
implicit,41,4,1234,1,added_rules;added_facts
implicit,41,5,1536,1,added_rules;added_facts
implicit,41,6,1887,1,removed_rules;added_rules;added_facts
implicit,41,7,2231,1,added_rules
