model,edit_class,answer_changed,setting,acc,n
anthropic/claude-sonnet-4,add_only,False,explicit,88.61,685
anthropic/claude-sonnet-4,add_only,False,implicit,92.41,685
anthropic/claude-sonnet-4,add_only,True,explicit,44.44,18
anthropic/claude-sonnet-4,add_only,True,implicit,33.33,18
anthropic/claude-sonnet-4,removal,False,explicit,87.94,373
anthropic/claude-sonnet-4,removal,False,implicit,93.57,373
anthropic/claude-sonnet-4,removal,True,explicit,87.81,1206
anthropic/claude-sonnet-4,removal,True,implicit,92.54,1206
google/gemini-2-5-flash,add_only,False,explicit,69.16,681
google/gemini-2-5-flash,add_only,False,implicit,95.15,681
google/gemini-2-5-flash,add_only,True,explicit,44.44,18
google/gemini-2-5-flash,add_only,True,implicit,44.44,18
google/gemini-2-5-flash,removal,False,explicit,79.09,373
google/gemini-2-5-flash,removal,False,implicit,96.51,373
google/gemini-2-5-flash,removal,True,explicit,78.32,1204
google/gemini-2-5-flash,removal,True,implicit,93.44,1204
google/gemini-2.5-pro,add_only,False,explicit,87.45,685
google/gemini-2.5-pro,add_only,False,implicit,97.08,685
google/gemini-2.5-pro,add_only,True,explicit,61.11,18
google/gemini-2.5-pro,add_only,True,implicit,55.56,18
google/gemini-2.5-pro,removal,False,explicit,91.69,373
google/gemini-2.5-pro,removal,False,implicit,97.86,373
google/gemini-2.5-pro,removal,True,explicit,89.97,1206
google/gemini-2.5-pro,removal,True,implicit,96.52,1206
google/gemma-3-12b-it,add_only,False,explicit,46.86,685
google/gemma-3-12b-it,add_only,False,implicit,82.19,685
google/gemma-3-12b-it,add_only,True,explicit,38.89,18
google/gemma-3-12b-it,add_only,True,implicit,50.0,18
google/gemma-3-12b-it,removal,False,explicit,39.95,373
google/gemma-3-12b-it,removal,False,implicit,83.11,373
google/gemma-3-12b-it,removal,True,explicit,50.91,1206
google/gemma-3-12b-it,removal,True,implicit,77.78,1206
google/gemma-3-27b-it,add_only,False,explicit,57.66,685
google/gemma-3-27b-it,add_only,False,implicit,83.36,685
google/gemma-3-27b-it,add_only,True,explicit,44.44,18
google/gemma-3-27b-it,add_only,True,implicit,38.89,18
google/gemma-3-27b-it,removal,False,explicit,53.08,373
google/gemma-3-27b-it,removal,False,implicit,85.52,373
google/gemma-3-27b-it,removal,True,explicit,69.15,1206
google/gemma-3-27b-it,removal,True,implicit,80.85,1206
google/gemma-3-4b-it,add_only,False,explicit,41.31,685
google/gemma-3-4b-it,add_only,False,implicit,68.76,685
google/gemma-3-4b-it,add_only,True,explicit,33.33,18
google/gemma-3-4b-it,add_only,True,implicit,38.89,18
google/gemma-3-4b-it,removal,False,explicit,41.02,373
google/gemma-3-4b-it,removal,False,implicit,67.02,373
google/gemma-3-4b-it,removal,True,explicit,46.35,1206
google/gemma-3-4b-it,removal,True,implicit,64.76,1206
moonshotai/kimi-k2-0905,add_only,False,explicit,41.31,685
moonshotai/kimi-k2-0905,add_only,False,implicit,86.13,685
moonshotai/kimi-k2-0905,add_only,True,explicit,33.33,18
moonshotai/kimi-k2-0905,add_only,True,implicit,38.89,18
moonshotai/kimi-k2-0905,removal,False,explicit,45.04,373
moonshotai/kimi-k2-0905,removal,False,implicit,87.4,373
moonshotai/kimi-k2-0905,removal,True,explicit,51.08,1206
moonshotai/kimi-k2-0905,removal,True,implicit,81.51,1206
openai/gpt-4.1-mini,add_only,False,explicit,51.09,685
openai/gpt-4.1-mini,add_only,False,implicit,88.32,685
openai/gpt-4.1-mini,add_only,True,explicit,27.78,18
openai/gpt-4.1-mini,add_only,True,implicit,38.89,18
openai/gpt-4.1-mini,removal,False,explicit,52.55,373
openai/gpt-4.1-mini,removal,False,implicit,87.4,373
openai/gpt-4.1-mini,removal,True,explicit,64.43,1206
openai/gpt-4.1-mini,removal,True,implicit,83.25,1206
openai/gpt-5-nano,add_only,False,explicit,18.98,685
openai/gpt-5-nano,add_only,False,implicit,84.82,685
openai/gpt-5-nano,add_only,True,explicit,11.11,18
openai/gpt-5-nano,add_only,True,implicit,33.33,18
openai/gpt-5-nano,removal,False,explicit,20.11,373
openai/gpt-5-nano,removal,False,implicit,83.91,373
openai/gpt-5-nano,removal,True,explicit,16.17,1206
openai/gpt-5-nano,removal,True,implicit,78.86,1206
openai/gpt-oss-120b,add_only,False,explicit,64.67,685
openai/gpt-oss-120b,add_only,False,implicit,90.51,685
openai/gpt-oss-120b,add_only,True,explicit,33.33,18
openai/gpt-oss-120b,add_only,True,implicit,38.89,18
openai/gpt-oss-120b,removal,False,explicit,60.32,373
openai/gpt-oss-120b,removal,False,implicit,87.4,373
openai/gpt-oss-120b,removal,True,explicit,68.82,1206
openai/gpt-oss-120b,removal,True,implicit,87.15,1206
openai/gpt-oss-20b,add_only,False,explicit,44.53,685
openai/gpt-oss-20b,add_only,False,implicit,90.36,685
openai/gpt-oss-20b,add_only,True,explicit,38.89,18
openai/gpt-oss-20b,add_only,True,implicit,44.44,18
openai/gpt-oss-20b,removal,False,explicit,43.7,373
openai/gpt-oss-20b,removal,False,implicit,89.54,373
openai/gpt-oss-20b,removal,True,explicit,55.8,1206
openai/gpt-oss-20b,removal,True,implicit,84.74,1206
qwen/qwen3-235b-a22b-2507,add_only,False,explicit,67.74,685
qwen/qwen3-235b-a22b-2507,add_only,False,implicit,92.55,685
qwen/qwen3-235b-a22b-2507,add_only,True,explicit,44.44,18
qwen/qwen3-235b-a22b-2507,add_only,True,implicit,50.0,18
qwen/qwen3-235b-a22b-2507,removal,False,explicit,70.24,373
qwen/qwen3-235b-a22b-2507,removal,False,implicit,93.83,373
qwen/qwen3-235b-a22b-2507,removal,True,explicit,73.71,1206
qwen/qwen3-235b-a22b-2507,removal,True,implicit,89.22,1206
qwen/qwen3-30b-a3b,add_only,False,explicit,48.03,685
qwen/qwen3-30b-a3b,add_only,False,implicit,89.05,685
qwen/qwen3-30b-a3b,add_only,True,explicit,38.89,18
qwen/qwen3-30b-a3b,add_only,True,implicit,38.89,18
qwen/qwen3-30b-a3b,removal,False,explicit,60.05,373
qwen/qwen3-30b-a3b,removal,False,implicit,90.88,373
qwen/qwen3-30b-a3b,removal,True,explicit,59.54,1206
qwen/qwen3-30b-a3b,removal,True,implicit,79.52,1206
qwen/qwen3-30b-a3b-thinking-2507,add_only,False,explicit,54.89,685
qwen/qwen3-30b-a3b-thinking-2507,add_only,False,implicit,95.33,685
qwen/qwen3-30b-a3b-thinking-2507,add_only,True,explicit,27.78,18
qwen/qwen3-30b-a3b-thinking-2507,add_only,True,implicit,44.44,18
qwen/qwen3-30b-a3b-thinking-2507,removal,False,explicit,61.93,373
qwen/qwen3-30b-a3b-thinking-2507,removal,False,implicit,97.05,373
qwen/qwen3-30b-a3b-thinking-2507,removal,True,explicit,66.0,1206
qwen/qwen3-30b-a3b-thinking-2507,removal,True,implicit,92.95,1206
qwen/qwen3-coder,add_only,False,explicit,70.22,685
qwen/qwen3-coder,add_only,False,implicit,90.36,685
qwen/qwen3-coder,add_only,True,explicit,33.33,18
qwen/qwen3-coder,add_only,True,implicit,38.89,18
qwen/qwen3-coder,removal,False,explicit,70.24,373
qwen/qwen3-coder,removal,False,implicit,90.08,373
qwen/qwen3-coder,removal,True,explicit,75.12,1206
qwen/qwen3-coder,removal,True,implicit,86.32,1206
qwen/qwen3-coder-30b-a3b-instruct,add_only,False,explicit,43.8,685
qwen/qwen3-coder-30b-a3b-instruct,add_only,False,implicit,84.53,685
qwen/qwen3-coder-30b-a3b-instruct,add_only,True,explicit,27.78,18
qwen/qwen3-coder-30b-a3b-instruct,add_only,True,implicit,44.44,18
qwen/qwen3-coder-30b-a3b-instruct,removal,False,explicit,42.09,373
qwen/qwen3-coder-30b-a3b-instruct,removal,False,implicit,82.04,373
qwen/qwen3-coder-30b-a3b-instruct,removal,True,explicit,47.68,1206
qwen/qwen3-coder-30b-a3b-instruct,removal,True,implicit,77.69,1206
x-ai/grok-code-fast-1,add_only,False,explicit,83.8,685
x-ai/grok-code-fast-1,add_only,False,implicit,90.07,685
x-ai/grok-code-fast-1,add_only,True,explicit,33.33,18
x-ai/grok-code-fast-1,add_only,True,implicit,27.78,18
x-ai/grok-code-fast-1,removal,False,explicit,87.13,373
x-ai/grok-code-fast-1,removal,False,implicit,91.42,373
x-ai/grok-code-fast-1,removal,True,explicit,85.32,1206
x-ai/grok-code-fast-1,removal,True,implicit,86.07,1206
