model,prompting,feedback,n_explicit,n_implicit,n_paired,overlap_pct_of_union
anthropic/claude-sonnet-4,cot,False,400,400,400,100.0
anthropic/claude-sonnet-4,cot,True,400,400,400,100.0
anthropic/claude-sonnet-4,standard,False,400,400,400,100.0
anthropic/claude-sonnet-4,standard,True,400,400,400,100.0
google/gemini-2-5-flash,cot,False,399,400,399,99.75
google/gemini-2-5-flash,cot,True,400,400,400,100.0
google/gemini-2-5-flash,standard,False,400,399,399,99.75
google/gemini-2-5-flash,standard,True,400,400,400,100.0
google/gemini-2.5-pro,cot,False,400,400,400,100.0
google/gemini-2.5-pro,cot,True,400,400,400,100.0
google/gemini-2.5-pro,standard,False,400,400,400,100.0
google/gemini-2.5-pro,standard,True,400,400,400,100.0
google/gemma-3-12b-it,cot,False,400,400,400,100.0
google/gemma-3-12b-it,cot,True,400,400,400,100.0
google/gemma-3-12b-it,standard,False,400,400,400,100.0
google/gemma-3-12b-it,standard,True,400,400,400,100.0
google/gemma-3-27b-it,cot,False,400,400,400,100.0
google/gemma-3-27b-it,cot,True,400,400,400,100.0
google/gemma-3-27b-it,standard,False,400,400,400,100.0
google/gemma-3-27b-it,standard,True,400,400,400,100.0
google/gemma-3-4b-it,cot,False,400,400,400,100.0
google/gemma-3-4b-it,cot,True,400,400,400,100.0
google/gemma-3-4b-it,standard,False,400,400,400,100.0
google/gemma-3-4b-it,standard,True,400,400,400,100.0
moonshotai/kimi-k2-0905,cot,False,400,400,400,100.0
moonshotai/kimi-k2-0905,cot,True,400,400,400,100.0
moonshotai/kimi-k2-0905,standard,False,400,400,400,100.0
moonshotai/kimi-k2-0905,standard,True,400,400,400,100.0
openai/gpt-4.1-mini,cot,False,400,400,400,100.0
openai/gpt-4.1-mini,cot,True,400,400,400,100.0
openai/gpt-4.1-mini,standard,False,400,400,400,100.0
openai/gpt-4.1-mini,standard,True,400,400,400,100.0
openai/gpt-5-nano,cot,False,400,400,400,100.0
openai/gpt-5-nano,cot,True,400,400,400,100.0
openai/gpt-5-nano,standard,False,400,400,400,100.0
openai/gpt-5-nano,standard,True,400,400,400,100.0
openai/gpt-oss-120b,cot,False,400,400,400,100.0
openai/gpt-oss-120b,cot,True,400,400,400,100.0
openai/gpt-oss-120b,standard,False,400,400,400,100.0
openai/gpt-oss-120b,standard,True,400,400,400,100.0
openai/gpt-oss-20b,cot,False,400,400,400,100.0
openai/gpt-oss-20b,cot,True,400,400,400,100.0
openai/gpt-oss-20b,standard,False,400,400,400,100.0
openai/gpt-oss-20b,standard,True,400,400,400,100.0
qwen/qwen-2.5-coder-32b-instruct,cot,False,400,400,400,100.0
qwen/qwen-2.5-coder-32b-instruct,cot,True,400,400,400,100.0
qwen/qwen-2.5-coder-32b-instruct,standard,False,400,400,400,100.0
qwen/qwen-2.5-coder-32b-instruct,standard,True,400,400,400,100.0
qwen/qwen3-235b-a22b-2507,cot,False,400,400,400,100.0
qwen/qwen3-235b-a22b-2507,cot,True,400,400,400,100.0
qwen/qwen3-235b-a22b-2507,standard,False,400,400,400,100.0
qwen/qwen3-235b-a22b-2507,standard,True,400,400,400,100.0
qwen/qwen3-235b-a22b-thinking-2507,cot,False,400,400,400,100.0
qwen/qwen3-235b-a22b-thinking-2507,cot,True,400,400,400,100.0
qwen/qwen3-235b-a22b-thinking-2507,standard,False,400,400,400,100.0
qwen/qwen3-235b-a22b-thinking-2507,standard,True,400,400,400,100.0
qwen/qwen3-30b-a3b,cot,False,400,400,400,100.0
qwen/qwen3-30b-a3b,cot,True,400,400,400,100.0
qwen/qwen3-30b-a3b,standard,False,400,400,400,100.0
qwen/qwen3-30b-a3b,standard,True,400,400,400,100.0
qwen/qwen3-30b-a3b-thinking-2507,cot,False,400,400,400,100.0
qwen/qwen3-30b-a3b-thinking-2507,cot,True,400,400,400,100.0
qwen/qwen3-30b-a3b-thinking-2507,standard,False,400,400,400,100.0
qwen/qwen3-30b-a3b-thinking-2507,standard,True,400,400,400,100.0
qwen/qwen3-coder,cot,False,400,400,400,100.0
qwen/qwen3-coder,cot,True,400,400,400,100.0
qwen/qwen3-coder,standard,False,400,400,400,100.0
qwen/qwen3-coder,standard,True,400,400,400,100.0
qwen/qwen3-coder-30b-a3b-instruct,cot,False,400,400,400,100.0
qwen/qwen3-coder-30b-a3b-instruct,cot,True,400,400,400,100.0
qwen/qwen3-coder-30b-a3b-instruct,standard,False,400,400,400,100.0
qwen/qwen3-coder-30b-a3b-instruct,standard,True,400,400,400,100.0
x-ai/grok-code-fast-1,cot,False,400,400,400,100.0
x-ai/grok-code-fast-1,cot,True,400,400,400,100.0
x-ai/grok-code-fast-1,standard,False,400,400,400,100.0
x-ai/grok-code-fast-1,standard,True,400,400,400,100.0
