track,chain_idx,step,token_count,correct,tags
implicit,209,1,524,1,removed_rules;added_rules
implicit,209,2,867,1,removed_rules;added_rules;added_facts
implicit,209,3,1177,1,added_rules
implicit,209,4,1548,1,removed_facts;added_rules
implicit,209,5,1927,1,removed_rules;added_rules
implicit,209,6,2300,1,removed_rules;added_facts
implicit,209,7,2620,1,removed_facts;added_rules
implicit,164,1,437,1,added_rules;added_facts
implicit,164,2,757,1,added_rules
implicit,164,3,1143,1,removed_rules;added_rules
implicit,164,4,1526,1,removed_rules;added_rules
implicit,164,5,1864,1,removed_rules;added_rules
implicit,164,6,2216,1,removed_rules;added_rules
implicit,164,7,2697,1,no_change
implicit,38,1,633,1,removed_facts;removed_rules;added_rules
implicit,38,2,905,1,removed_rules;added_rules
implicit,38,3,1186,1,added_rules;added_facts
implicit,38,4,1510,1,added_rules
implicit,38,5,1869,1,added_rules;added_facts
implicit,38,6,2262,1,removed_facts;removed_rules;added_rules
implicit,38,7,2628,1,added_rules;added_facts
implicit,196,1,506,1,removed_rules;added_rules;added_facts
implicit,196,2,850,1,added_rules;added_facts
implicit,196,3,1321,1,removed_facts;removed_rules;added_rules
implicit,196,4,1475,1,removed_rules;added_facts
implicit,196,5,1627,1,removed_facts;added_facts
implicit,196,6,1762,1,removed_rules;added_rules;added_facts
implicit,196,7,1928,1,removed_facts;added_rules
implicit,5,1,631,1,removed_facts;added_facts
implicit,5,2,935,1,added_facts
implicit,5,3,1254,1,removed_facts;added_facts
implicit,5,4,1554,1,removed_facts;added_facts
implicit,5,5,1862,1,removed_facts;removed_rules;added_rules
implicit,5,6,2218,1,added_facts
implicit,5,7,2398,1,removed_facts;added_rules;added_facts
implicit,67,1,402,1,removed_rules;added_facts
implicit,67,2,574,1,added_facts
implicit,67,3,791,1,removed_facts;added_facts
implicit,67,4,1005,1,added_facts
implicit,67,5,1236,1,removed_rules;added_rules
implicit,67,6,1505,1,removed_facts;removed_rules;added_rules
implicit,67,7,1796,1,added_rules;added_facts
implicit,99,1,510,1,added_facts
implicit,99,2,848,1,removed_facts;removed_rules;added_rules
implicit,99,3,1171,1,added_rules
implicit,99,4,1548,1,added_rules;added_facts
implicit,99,5,1988,1,added_facts
implicit,99,6,2451,1,added_rules;added_facts
implicit,99,7,2948,0,removed_rules;added_rules
implicit,66,1,450,1,removed_rules;added_rules;added_facts
implicit,66,2,742,1,removed_rules;added_rules
implicit,66,3,1005,1,removed_rules;added_rules
implicit,66,4,1286,1,added_rules;added_facts
implicit,66,5,1600,1,removed_rules;added_rules;added_facts
implicit,66,6,1941,1,added_facts
implicit,66,7,2324,1,removed_facts;removed_rules;added_rules
implicit,198,1,600,1,added_rules
implicit,198,2,903,1,removed_facts;added_facts
implicit,198,3,1180,1,added_facts
implicit,198,4,1514,1,added_rules;added_facts
implicit,198,5,1868,1,added_facts
implicit,198,6,2241,1,added_facts
implicit,198,7,2673,1,removed_rules;added_rules;added_facts
implicit,3,1,428,1,added_facts
implicit,3,2,699,1,removed_rules;added_rules;added_facts
implicit,3,3,977,1,added_rules;added_facts
implicit,3,4,1310,1,added_rules;added_facts
implicit,3,5,1674,1,added_rules;added_facts
implicit,3,6,2124,1,added_rules
implicit,3,7,2605,0,removed_facts;removed_rules;added_rules
implicit,120,1,578,1,added_facts
implicit,120,2,880,1,removed_facts;removed_rules;added_rules
implicit,120,3,1171,1,added_rules;added_facts
implicit,120,4,1501,1,added_facts
implicit,120,5,1869,1,added_rules
implicit,120,6,2267,1,added_rules;added_facts
implicit,120,7,2702,1,added_facts
implicit,35,1,564,1,removed_rules;added_rules;added_facts
implicit,35,2,863,1,added_facts
implicit,35,3,1174,1,added_rules
implicit,35,4,1504,1,removed_rules;added_rules
implicit,35,5,1852,1,removed_rules;added_rules;added_facts
implicit,35,6,2225,1,removed_rules;added_rules
implicit,35,7,2602,1,removed_rules;added_rules
implicit,194,1,510,1,removed_rules;added_facts
implicit,194,2,737,1,removed_facts;added_rules
implicit,194,3,986,1,removed_rules;added_rules
implicit,194,4,1237,1,removed_rules;added_rules
implicit,194,5,1501,1,removed_facts;added_rules
implicit,194,6,1746,1,removed_rules;added_rules
implicit,194,7,1985,1,removed_rules;added_rules
implicit,86,1,526,1,added_facts
implicit,86,2,899,1,added_rules;added_facts
implicit,86,3,1298,1,no_change
implicit,86,4,1613,1,removed_rules;added_rules
implicit,86,5,1893,1,removed_rules;added_rules
implicit,86,6,2188,1,added_facts
implicit,86,7,2512,1,added_rules;added_facts
implicit,121,1,519,1,removed_rules;added_rules;added_facts
implicit,121,2,817,1,removed_rules;added_rules
implicit,121,3,1117,1,removed_facts;added_rules
implicit,121,4,1415,1,removed_rules;added_rules
implicit,121,5,1716,0,removed_rules;added_rules
implicit,121,6,2058,1,added_rules;added_facts
