track,chain_idx,step,token_count,correct,tags
implicit_no_reasoning_no_correction,76,1,253,1,added_facts
implicit_no_reasoning_no_correction,76,2,520,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,76,3,799,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,76,4,1058,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,76,5,1346,1,added_rules;added_facts
implicit_no_reasoning_no_correction,76,6,1637,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,76,7,1884,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,67,1,216,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,67,2,402,1,added_facts
implicit_no_reasoning_no_correction,67,3,626,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,67,4,883,1,added_facts
implicit_no_reasoning_no_correction,67,5,1187,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,67,6,1532,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,67,7,1863,1,added_rules;added_facts
implicit_no_reasoning_no_correction,60,1,263,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,60,2,576,1,removed_facts;removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,60,3,859,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,60,4,1181,1,added_facts
implicit_no_reasoning_no_correction,60,5,1523,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,60,6,1846,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,60,7,2171,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,81,1,279,1,added_rules
implicit_no_reasoning_no_correction,81,2,641,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,81,3,1016,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,81,4,1343,1,added_rules;added_facts
implicit_no_reasoning_no_correction,81,5,1808,1,added_rules;added_facts
implicit_no_reasoning_no_correction,81,6,2300,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,81,7,2806,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,1,323,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,151,2,677,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,3,994,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,4,1334,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,151,5,1703,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,151,6,2090,1,added_rules;added_facts
implicit_no_reasoning_no_correction,151,7,2506,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,88,1,273,1,added_rules
implicit_no_reasoning_no_correction,88,2,631,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,88,3,990,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,88,4,1371,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,88,5,1713,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,88,6,2078,1,added_rules
implicit_no_reasoning_no_correction,88,7,2537,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,53,1,272,1,added_rules;added_facts
implicit_no_reasoning_no_correction,53,2,545,1,added_rules
implicit_no_reasoning_no_correction,53,3,849,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,53,4,1201,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,53,5,1533,1,added_facts
implicit_no_reasoning_no_correction,53,6,1842,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,53,7,2190,1,added_rules;added_facts
implicit_no_reasoning_no_correction,72,1,294,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,2,633,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,3,1001,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,4,1340,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,72,5,1695,1,added_rules
implicit_no_reasoning_no_correction,72,6,2077,1,added_rules;added_facts
implicit_no_reasoning_no_correction,72,7,2439,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,15,1,231,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,15,2,473,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,15,3,833,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,15,4,1091,1,added_facts
implicit_no_reasoning_no_correction,15,5,1387,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,15,6,1711,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,15,7,1979,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,164,1,242,1,added_rules;added_facts
implicit_no_reasoning_no_correction,164,2,595,1,added_rules
implicit_no_reasoning_no_correction,164,3,978,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,164,4,1416,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,164,5,1812,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,164,6,2222,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,164,7,2752,1,no_change
implicit_no_reasoning_no_correction,148,1,335,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,148,2,691,1,added_rules;added_facts
implicit_no_reasoning_no_correction,148,3,1084,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,148,4,1597,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,148,5,2116,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,148,6,2579,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,148,7,3052,1,added_facts
implicit_no_reasoning_no_correction,79,1,244,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,79,2,495,1,added_rules
implicit_no_reasoning_no_correction,79,3,834,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,79,4,1163,1,removed_rules;added_rules;added_facts
