track,chain_idx,step,token_count,correct,tags
implicit,120,1,578,1,added_facts
implicit,120,2,930,1,removed_facts;removed_rules;added_rules
implicit,120,3,1239,1,added_rules;added_facts
implicit,120,4,1581,1,added_facts
implicit,120,5,1967,1,added_rules
implicit,120,6,2381,1,added_rules;added_facts
implicit,120,7,2830,1,added_facts
implicit,102,1,580,1,added_rules;added_facts
implicit,102,2,992,1,added_rules
implicit,102,3,1400,1,removed_rules;added_rules
implicit,102,4,1775,1,removed_rules;added_rules
implicit,102,5,2179,1,added_facts
implicit,102,6,2634,1,added_facts
implicit,102,7,3047,1,removed_facts;removed_rules;added_rules
implicit,185,1,388,1,removed_rules;added_rules
implicit,185,2,593,1,removed_facts;added_rules
implicit,185,3,795,1,removed_rules;added_rules
implicit,185,4,1012,1,added_rules;added_facts
implicit,185,5,1263,1,removed_rules;added_rules
implicit,185,6,1501,1,removed_facts;added_rules;added_facts
implicit,185,7,1768,1,removed_facts;added_rules
implicit,72,1,616,1,removed_rules;added_rules
implicit,72,2,943,1,removed_rules;added_rules
implicit,72,3,1280,1,removed_rules;added_rules
implicit,72,4,1606,1,removed_rules;added_rules
implicit,72,5,1949,1,added_rules
implicit,72,6,2311,1,added_rules;added_facts
implicit,72,7,2646,1,removed_facts;removed_rules;added_rules
implicit,84,1,449,1,removed_facts;removed_rules;added_rules;added_facts
implicit,84,2,765,1,added_facts
implicit,84,3,1069,1,added_facts
implicit,84,4,1385,1,removed_facts;removed_rules;added_rules
implicit,84,5,1691,1,removed_rules;added_rules
implicit,84,6,2012,1,removed_rules;added_rules
implicit,84,7,2321,1,added_rules;added_facts
implicit,32,1,370,1,removed_facts;added_rules;added_facts
implicit,32,2,666,1,removed_facts;added_facts
implicit,32,3,912,1,added_facts
implicit,32,4,1201,1,removed_facts;added_rules
implicit,32,5,1498,1,removed_rules;added_rules
implicit,32,6,1804,1,removed_rules;added_rules
implicit,32,7,2109,1,removed_rules;added_rules;added_facts
implicit,200,1,540,1,added_rules;added_facts
implicit,200,2,892,1,removed_rules;added_rules;added_facts
implicit,200,3,1232,1,removed_rules;added_rules;added_facts
implicit,200,4,1543,1,added_rules
implicit,200,5,1943,1,removed_facts;removed_rules;added_rules
implicit,200,6,2278,1,added_rules;added_facts
implicit,200,7,2778,1,added_rules
implicit,109,1,433,1,added_facts
implicit,109,2,700,1,added_facts
implicit,109,3,962,1,removed_rules;added_rules;added_facts
implicit,109,4,1272,1,removed_facts;removed_rules;added_rules
implicit,109,5,1706,1,removed_rules;added_rules
implicit,109,6,2012,1,removed_rules;added_rules
implicit,109,7,2334,1,removed_rules;added_rules
implicit,197,1,548,0,removed_rules;added_rules;added_facts
implicit,197,2,1004,1,removed_facts;added_facts
implicit,197,3,1422,1,removed_rules;added_rules;added_facts
implicit,197,4,1873,1,removed_rules;added_rules;added_facts
implicit,197,5,2367,1,added_facts
implicit,197,6,2867,1,removed_facts;removed_rules;added_rules
implicit,197,7,3398,1,removed_rules;added_rules
implicit,78,1,494,1,added_rules;added_facts
implicit,78,2,920,1,removed_rules;added_rules
implicit,78,3,1204,1,removed_rules;added_rules
implicit,78,4,1503,1,added_rules
implicit,78,5,1843,1,removed_rules;added_rules
implicit,78,6,2135,1,added_rules;added_facts
implicit,78,7,2438,1,removed_facts;added_rules
implicit,113,1,402,1,removed_facts;removed_rules;added_rules;added_facts
implicit,113,2,718,1,removed_rules;added_rules
implicit,113,3,950,1,removed_rules;added_rules
implicit,113,4,1202,1,added_rules
implicit,113,5,1510,1,removed_rules;added_rules
implicit,113,6,1778,1,removed_rules;added_rules
implicit,113,7,2047,1,added_rules
implicit,12,1,533,1,removed_facts;added_rules
implicit,12,2,810,1,removed_rules;added_rules
implicit,12,3,1155,1,removed_rules;added_rules;added_facts
implicit,12,4,1521,1,removed_rules;added_rules;added_facts
implicit,12,5,1838,1,added_rules;added_facts
implicit,12,6,2131,1,added_rules
implicit,12,7,2449,1,added_rules;added_facts
implicit,162,1,602,1,removed_rules;added_rules
implicit,162,2,1070,1,removed_rules;added_rules
implicit,162,3,1395,1,removed_rules;added_rules;added_facts
implicit,162,4,1742,1,added_rules;added_facts
implicit,162,5,2207,1,removed_facts;removed_rules;added_rules
implicit,162,6,2678,1,removed_rules;added_rules
implicit,162,7,3120,1,removed_rules;added_rules
implicit,13,1,513,1,added_rules;added_facts
implicit,13,2,877,1,removed_rules;added_rules;added_facts
implicit,13,3,1241,1,removed_rules;added_rules
implicit,13,4,1608,1,removed_rules;added_rules;added_facts
implicit,13,5,1996,1,removed_rules;added_rules
implicit,13,6,2386,1,removed_rules;added_rules
implicit,13,7,2841,1,added_facts
implicit,51,1,479,1,removed_rules;added_rules
implicit,51,2,777,1,removed_rules;added_rules
implicit,51,3,1054,1,removed_rules;added_rules
implicit,51,4,1419,1,removed_facts;removed_rules;added_rules
implicit,51,5,1703,1,removed_rules;added_rules;added_facts
implicit,51,6,1994,1,removed_rules;added_rules
implicit,51,7,2329,1,added_rules;added_facts
implicit,134,1,542,1,added_facts
implicit,134,2,947,0,removed_rules;added_rules;added_facts
implicit,134,3,1461,1,removed_facts;removed_rules;added_rules;added_facts
implicit,134,4,1818,1,added_facts
implicit,134,5,2146,1,added_facts
implicit,134,6,2503,1,removed_facts;removed_rules;added_rules
implicit,134,7,2879,1,removed_facts;added_facts
