model,track,n_turns,n_parse_fail,parse_fail_pct
anthropic/claude-sonnet-4,explicit,2800,0,0.0
anthropic/claude-sonnet-4,explicit_no_correction,2800,0,0.0
anthropic/claude-sonnet-4,explicit_no_reasoning,2800,0,0.0
anthropic/claude-sonnet-4,explicit_no_reasoning_no_correction,2800,0,0.0
anthropic/claude-sonnet-4,implicit,2800,0,0.0
anthropic/claude-sonnet-4,implicit_no_correction,2800,0,0.0
anthropic/claude-sonnet-4,implicit_no_reasoning,2800,0,0.0
anthropic/claude-sonnet-4,implicit_no_reasoning_no_correction,2800,0,0.0
google/gemini-2-5-flash,explicit,2800,34,1.21
google/gemini-2-5-flash,explicit_no_correction,2793,24,0.86
google/gemini-2-5-flash,explicit_no_reasoning,2800,9,0.32
google/gemini-2-5-flash,explicit_no_reasoning_no_correction,2800,22,0.79
google/gemini-2-5-flash,implicit,2800,43,1.54
google/gemini-2-5-flash,implicit_no_correction,2800,15,0.54
google/gemini-2-5-flash,implicit_no_reasoning,2800,9,0.32
google/gemini-2-5-flash,implicit_no_reasoning_no_correction,2793,13,0.47
google/gemini-2.5-pro,explicit,2800,1,0.04
google/gemini-2.5-pro,explicit_no_correction,2800,5,0.18
google/gemini-2.5-pro,explicit_no_reasoning,2800,1,0.04
google/gemini-2.5-pro,explicit_no_reasoning_no_correction,2800,0,0.0
google/gemini-2.5-pro,implicit,2800,1,0.04
google/gemini-2.5-pro,implicit_no_correction,2800,2,0.07
google/gemini-2.5-pro,implicit_no_reasoning,2800,0,0.0
google/gemini-2.5-pro,implicit_no_reasoning_no_correction,2800,0,0.0
google/gemma-3-12b-it,explicit,2800,4,0.14
google/gemma-3-12b-it,explicit_no_correction,2800,2,0.07
google/gemma-3-12b-it,explicit_no_reasoning,2800,1,0.04
google/gemma-3-12b-it,explicit_no_reasoning_no_correction,2800,3,0.11
google/gemma-3-12b-it,implicit,2800,3,0.11
google/gemma-3-12b-it,implicit_no_correction,2800,3,0.11
google/gemma-3-12b-it,implicit_no_reasoning,2800,11,0.39
google/gemma-3-12b-it,implicit_no_reasoning_no_correction,2800,11,0.39
google/gemma-3-27b-it,explicit,2800,0,0.0
google/gemma-3-27b-it,explicit_no_correction,2800,1,0.04
google/gemma-3-27b-it,explicit_no_reasoning,2800,0,0.0
google/gemma-3-27b-it,explicit_no_reasoning_no_correction,2800,0,0.0
google/gemma-3-27b-it,implicit,2800,0,0.0
google/gemma-3-27b-it,implicit_no_correction,2800,0,0.0
google/gemma-3-27b-it,implicit_no_reasoning,2800,0,0.0
google/gemma-3-27b-it,implicit_no_reasoning_no_correction,2800,0,0.0
google/gemma-3-4b-it,explicit,2800,0,0.0
google/gemma-3-4b-it,explicit_no_correction,2800,0,0.0
google/gemma-3-4b-it,explicit_no_reasoning,2800,2,0.07
google/gemma-3-4b-it,explicit_no_reasoning_no_correction,2800,0,0.0
google/gemma-3-4b-it,implicit,2800,1,0.04
