track,chain_idx,step,token_count,correct,tags
implicit,109,1,433,1,added_facts
implicit,109,2,656,1,added_facts
implicit,109,3,891,1,removed_rules;added_rules;added_facts
implicit,109,4,1173,1,removed_facts;removed_rules;added_rules
implicit,109,5,1486,1,removed_rules;added_rules
implicit,109,6,1763,1,removed_rules;added_rules
implicit,109,7,2043,1,removed_rules;added_rules
implicit,139,1,378,1,removed_rules;added_rules;added_facts
implicit,139,2,568,1,removed_rules;added_rules;added_facts
implicit,139,3,803,1,added_facts
implicit,139,4,1055,1,removed_rules;added_rules
implicit,139,5,1294,1,added_rules;added_facts
implicit,139,6,1565,1,added_facts
implicit,139,7,1886,1,removed_facts;removed_rules;added_rules
implicit,8,1,524,1,added_facts
implicit,8,2,814,1,removed_facts;added_rules;added_facts
implicit,8,3,1098,1,removed_rules;added_rules;added_facts
implicit,8,4,1406,1,added_rules;added_facts
implicit,8,5,1795,1,removed_facts;removed_rules;added_rules
implicit,8,6,2171,1,removed_rules;added_rules
implicit,8,7,2515,1,added_rules
implicit,6,1,548,1,removed_rules;added_rules
implicit,6,2,770,1,removed_rules;added_rules
implicit,6,3,989,1,added_rules;added_facts
implicit,6,4,1246,1,added_rules
implicit,6,5,1545,1,removed_facts;removed_rules;added_rules
implicit,6,6,1853,1,added_rules
implicit,6,7,2206,1,removed_rules;added_rules
implicit,149,1,550,1,removed_facts;added_rules
implicit,149,2,794,1,removed_rules;added_rules
implicit,149,3,1035,1,removed_rules;added_rules
implicit,149,4,1326,1,removed_rules;added_rules;added_facts
implicit,149,5,1673,1,removed_rules;added_facts
implicit,149,6,2011,1,removed_rules;added_rules;added_facts
implicit,149,7,2290,0,removed_rules;added_facts
implicit,159,1,496,1,removed_rules;added_rules
implicit,159,2,715,1,added_facts
implicit,159,3,945,1,added_rules
implicit,159,4,1181,1,removed_rules;added_rules
implicit,159,5,1411,1,removed_rules;added_rules
implicit,159,6,1644,1,removed_rules;added_rules
implicit,159,7,1889,1,removed_rules;added_rules
implicit,172,1,450,1,removed_rules;added_rules
implicit,172,2,640,1,added_facts
implicit,172,3,858,1,removed_rules;added_rules
implicit,172,4,1070,1,added_rules
implicit,172,5,1296,1,removed_rules;added_rules;added_facts
implicit,172,6,1560,1,removed_rules;added_rules
implicit,172,7,1798,1,added_rules
implicit,41,1,452,1,added_facts
implicit,41,2,709,1,added_facts
implicit,41,3,944,1,removed_facts;removed_rules;added_rules
implicit,41,4,1185,1,added_rules;added_facts
implicit,41,5,1460,1,added_rules;added_facts
implicit,41,6,1771,1,removed_rules;added_rules;added_facts
implicit,41,7,2097,1,added_rules
implicit,29,1,520,1,removed_rules;added_rules;added_facts
implicit,29,2,787,1,removed_rules;added_rules;added_facts
implicit,29,3,1061,1,added_rules;added_facts
implicit,29,4,1416,1,removed_facts;added_rules
implicit,29,5,1793,1,added_rules;added_facts
implicit,29,6,2222,1,added_rules;added_facts
implicit,29,7,2708,1,removed_facts;removed_rules;added_rules
implicit,38,1,633,1,removed_facts;removed_rules;added_rules
implicit,38,2,893,1,removed_rules;added_rules
implicit,38,3,1158,1,added_rules;added_facts
implicit,38,4,1443,1,added_rules
implicit,38,5,1766,1,added_rules;added_facts
implicit,38,6,2115,1,removed_facts;removed_rules;added_rules
implicit,38,7,2456,1,added_rules;added_facts
implicit,32,1,370,1,removed_facts;added_rules;added_facts
